,R2,Model
1,0.975055232,SVM
2,0.960589907,SVM
3,0.859067285,SVM
4,0.858508201,SVM
5,0.803169238,SVM
6,0.770276544,SVM
7,0.969955814,SVM
8,0.866897512,SVM
9,0.880327559,SVM
10,0.97335764,SVM
11,0.974935071,SVM
12,0.620180408,SVM
13,0.682012374,SVM
14,0.620903577,KNN
15,0.679413136,KNN
16,0.822783284,KNN
17,0.817386788,KNN
18,0.804748832,KNN
19,0.624956076,KNN
20,0.717128154,KNN
21,0.734972664,KNN
22,0.629802216,KNN
23,0.77783034,KNN
24,0.623938391,KNN
25,0.623729252,KNN
26,0.707262406,KNN
27,0.70766481,DT
28,0.982546844,DT
29,0.899476505,DT
30,0.993539413,DT
31,0.959211933,DT
32,0.892813434,DT
33,0.753606812,DT
34,0.867374392,DT
35,0.982699262,DT
36,0.964184598,DT
37,0.67583498,DT
38,0.819663911,DT
39,0.751620488,DT
40,0.932254663,RF
41,0.928610629,RF
42,0.934128843,RF
43,0.93850596,RF
44,0.909449756,RF
45,0.83838079,RF
46,0.938273197,RF
47,0.866219521,RF
48,0.935332061,RF
49,0.924870337,RF
50,0.928395612,RF
51,0.801549133,RF
52,0.89446572,RF
53,0.846275297,GBDT
54,0.871497392,GBDT
55,0.844987087,GBDT
56,0.868706357,GBDT
57,0.840738813,GBDT
58,0.736780456,GBDT
59,0.883597534,GBDT
60,0.755885341,GBDT
61,0.833043271,GBDT
62,0.783977484,GBDT
63,0.747185026,GBDT
64,0.717321684,GBDT
65,0.848600835,GBDT
66,0.926905265,XGB
67,0.974983777,XGB
68,0.974566987,XGB
69,0.993407195,XGB
70,0.908768674,XGB
71,0.892823011,XGB
72,0.97214551,XGB
73,0.831960827,XGB
74,0.951785784,XGB
75,0.790098968,XGB
76,0.968233504,XGB
77,0.800974152,XGB
78,0.879635041,XGB
