,SVM,KNN,DT,RF,GBDT,XGB
Morgan,0.762517223,0.579682987,0.520317674,0.670847892,0.628597539,0.678745389
MACCS,0.796278814,0.667262085,0.689182931,0.818794028,0.720925064,0.81055732
CDK,0.7063968,0.664819277,0.619707472,0.73121503,0.69982198,0.731885373
Ext,0.726360343,0.691047244,0.457928163,0.757594874,0.722467782,0.764988233
Graph,0.654436017,0.548703118,0.364703531,0.659586671,0.598657885,0.650705055
Estate,0.617384265,0.620055278,0.630866591,0.694805393,0.614934979,0.701718541
Pub,0.774693883,0.719431689,0.696115502,0.825059558,0.755448245,0.8112
Sub,0.715378069,0.590040208,0.701827691,0.730924208,0.704308685,0.739059942
SubC,0.765644712,0.593386344,0.704246968,0.797632602,0.704260334,0.77131148
KR,0.757103311,0.515386903,0.531147057,0.653735137,0.639646181,0.678331587
KRC,0.705825751,0.498245807,0.341065713,0.6371235,0.62688942,0.675793426
AP2D,0.502945823,0.49975268,0.386867876,0.529593823,0.529830504,0.566604498
AP2DC,0.537832903,0.54427799,0.62499676,0.694935244,0.640610222,0.706161713
