Organic contaminants,lgkOH,Group
Tylosin,9.91,Experimental value
Tetracycline,9.89,Experimental value
Trimethoprim,9.82,Experimental value
Sulfathiazole,9.73,Experimental value
Roxithromycin ,9.65,Experimental value
Enrofloxacin,9.84,Experimental value
Ciprofloxacin,9.61,Experimental value
Sulfadimethoxine,9.91,Experimental value
Lomefloxacin,9.91,Experimental value
Norfloxacin,9.79,Experimental value
Sulfamethoxazole,9.74,Experimental value
Sulfamerazine,9.74,Experimental value
Sulfamethazine,9.68,Experimental value
Ofloxacin,9.62,Experimental value
Azithromycin,9.46,Experimental value
Tylosin,9.69,Predictive value
Tetracycline,9.73,Predictive value
Trimethoprim,9.87,Predictive value
Sulfathiazole,9.66,Predictive value
Roxithromycin ,9.81,Predictive value
Enrofloxacin,9.68,Predictive value
Ciprofloxacin,9.78,Predictive value
Sulfadimethoxine,9.87,Predictive value
Lomefloxacin,9.87,Predictive value
Norfloxacin,9.84,Predictive value
Sulfamethoxazole,9.91,Predictive value
Sulfamerazine,9.90,Predictive value
Sulfamethazine,9.92,Predictive value
Ofloxacin,9.90,Predictive value
Azithromycin,9.49,Predictive value
