lgkOH,class
9.36173,Training set
9.90309,Training set
9.4624,Training set
9.81291,Training set
9.38021,Training set
9.95376,Training set
9.91381,Training set
10,Training set
9.34242,Training set
7.96848,Training set
9.8451,Training set
9.81291,Training set
9.78533,Training set
9.6721,Training set
8.65321,Training set
9.07918,Training set
10.04139,Training set
10.17609,Training set
9.59106,Training set
9.94002,Training set
9.07918,Training set
10.17609,Training set
9.71012,Training set
9.99607,Training set
9.94792,Training set
9.92428,Training set
9.96802,Training set
10.30103,Training set
8.83251,Training set
9.90309,Training set
9.68124,Training set
9.54407,Training set
9.99607,Training set
9.59106,Training set
8.5302,Training set
7.95376,Training set
8.2878,Training set
9.76343,Training set
9.98227,Training set
9.91381,Training set
8.70927,Training set
9.84011,Training set
9.84011,Training set
9.32222,Training set
9.92428,Training set
7.77815,Training set
9.89982,Training set
8.36173,Training set
9.92993,Training set
9.91381,Training set
7.76268,Training set
9.39794,Training set
8.11394,Training set
9.95376,Training set
9.88986,Training set
9.39794,Training set
8.34242,Training set
9.04139,Training set
9.36173,Training set
9.50515,Training set
9.6721,Training set
9.99607,Training set
9.80618,Training set
9.88649,Training set
10.17609,Training set
9.716,Training set
9.39794,Training set
10.4624,Training set
10.07918,Training set
9.92012,Training set
8.07918,Training set
10.07918,Training set
9.30103,Training set
7.92221,Training set
9.65321,Training set
8.4183,Training set
9.62325,Training set
10.23045,Training set
9.90309,Training set
10,Training set
9.63548,Training set
9.95904,Training set
9.60097,Training set
9.60206,Training set
9.89209,Training set
9.20412,Training set
9.17609,Training set
10.04139,Training set
9.90309,Training set
9.79239,Training set
9.50515,Training set
9.8451,Training set
10.14613,Training set
9.6902,Training set
9.36173,Training set
8.73239,Training set
8.70927,Training set
9.69461,Training set
9.8451,Training set
9.79239,Training set
8.66745,Training set
9.89982,Training set
9.20412,Training set
8.41497,Training set
9.89982,Training set
9.92993,Training set
9.54407,Training set
9.60959,Training set
9.8451,Training set
9.61278,Training set
10.07918,Training set
9.80414,Training set
10.07918,Training set
8.07918,Training set
9.23045,Training set
9.23045,Training set
9.79169,Training set
10.11394,Training set
6.85673,Training set
8.95376,Training set
7.23045,Training set
9.69897,Training set
8.30103,Training set
9.72016,Training set
9.4624,Training set
9.989,Training set
8.11059,Training set
9.65321,Training set
9.5682,Training set
10.25527,Training set
9.716,Training set
10,Training set
10,Training set
10.07918,Training set
8.20412,Training set
9.30103,Training set
10.1959,Training set
9.64345,Training set
9.60206,Training set
9.85733,Training set
9.04139,Training set
8.57978,Training set
9.91009,Training set
9.81291,Training set
9.95376,Training set
8.73239,Training set
9.74036,Training set
9.23045,Training set
9.74036,Training set
8.65321,Training set
9.76268,Training set
9.83885,Training set
10,Training set
9.62325,Training set
9.79029,Training set
9.56229,Training set
9.75587,Training set
9.74036,Training set
10.51851,Training set
8.77815,Training set
9.68124,Training set
9.88649,Training set
9.4624,Training set
9.91009,Training set
8.77085,Training set
8.30103,Training set
9.60206,Training set
9.84011,Training set
9.91381,Training set
9.36173,Training set
9.83885,Training set
9.65992,Training set
9.77815,Training set
9.88024,Training set
8.89209,Training set
9.79934,Training set
9.34242,Training set
9.5563,Training set
9.14613,Training set
9.02119,Training set
8.8202,Training set
9.4624,Training set
9.74036,Training set
10.23045,Training set
10.34242,Training set
9.8451,Training set
10.36173,Training set
9.23045,Training set
9.86923,Training set
9.14613,Training set
9.20412,Training set
9.68124,Training set
10.14613,Training set
9.81291,Training set
9.35218,Training set
8.34242,Training set
9.83759,Training set
9.25527,Training set
9.25527,Training set
9.83315,Training set
7.85974,Training set
9.82607,Training set
7.6902,Training set
9.76268,Training set
9.30103,Training set
9.72428,Training set
9.20412,Training set
9.62325,Training set
9.64345,Training set
9.39967,Training set
8.8451,Training set
9.5682,Training set
9.20412,Training set
9.85003,Training set
9.39094,Training set
9.5563,Training set
9.86982,Training set
9.93399,Training set
9.41497,Training set
9.62325,Training set
9.20412,Training set
9.96473,Training set
9.51851,Training set
8.22789,Training set
9.49136,Training set
9.51851,Training set
9.44716,Training set
10.47712,Training set
10.04139,Training set
10,Training set
9.79239,Training set
9.91009,Training set
9.77815,Training set
9.86629,Training set
9.39794,Training set
9.79934,Training set
9.38021,Training set
9.81023,Training set
9.14613,Training set
9.50515,Training set
10.11394,Training set
9.85733,Training set
8.7679,Training set
9.39794,Training set
7.69897,Training set
9.23045,Training set
9.27646,Training set
9.76268,Training set
9.8451,Training set
9.68034,Training set
9.64345,Training set
9.56585,Training set
10,Training set
9.13033,Training set
9.88024,Training set
8.91381,Training set
9.73239,Training set
9.45025,Training set
9.27875,Training set
10.14922,Training set
9.51983,Training set
9.97772,Training set
7.90309,Training set
10.07918,Training set
8.81291,Training set
9.17898,Training set
9.90309,Training set
8.57978,Training set
9.35984,Training set
9.30103,Training set
9.53148,Training set
8.11394,Training set
9.07918,Training set
9.30103,Training set
9.53148,Training set
9.49276,Training set
10.0569,Training set
9.6721,Training set
9.77085,Training set
9.6902,Training set
9.17609,Training set
9.34242,Training set
9.51055,Training set
9.81291,Training set
8.60206,Training set
9.11394,Training set
9.90795,Training set
9.65321,Training set
9.65321,Training set
9.88593,Training set
8.91009,Training set
9.91062,Training set
10.23045,Training set
9,Training set
10.14613,Training set
9.66276,Training set
9.85126,Training set
9.79239,Training set
9.62325,Training set
9.49136,Training set
8.51188,Training set
9.93601,Training set
8.07918,Training set
9.6902,Training set
7.90309,Training set
8.69897,Training set
9.98722,Training set
10.17609,Training set
9.92993,Training set
9.81291,Training set
10.11394,Training set
9.32222,Training set
8.50515,Training set
9.70842,Training set
9.49136,Training set
9.72016,Training set
9.39794,Training set
10.07918,Training set
8.59106,Training set
9.716,Training set
8.8202,Training set
9.8451,Training set
9.83315,Training set
9.69984,Training set
10,Training set
9.73239,Training set
8.23045,Training set
9.90309,Training set
10.07918,Training set
8.88818,Training set
9.79934,Training set
9.61278,Training set
7.8202,Training set
9.87506,Training set
8.95376,Training set
9.39794,Training set
10.11394,Training set
9.8451,Training set
7.92221,Training set
9.77012,Training set
10.13672,Training set
10.11394,Training set
10.17609,Training set
9.88024,Training set
7.6902,Training set
9.88986,Training set
9.8202,Training set
9.49136,Training set
9.27875,Training set
9.20412,Training set
9.8451,Training set
7.96379,Training set
9.47712,Training set
9.79029,Training set
9.72997,Training set
9.36173,Training set
8.30103,Training set
9.81291,Training set
9.62325,Training set
9.17898,Training set
9.97313,Training set
9.7185,Training set
9.25768,Training set
9.23045,Training set
9.04139,Training set
9.85003,Training set
10.07918,Training set
7.83251,Training set
9.20412,Training set
10.13672,Training set
9.59988,Training set
9.83315,Training set
9.91009,Training set
8.31387,Training set
9.7364,Training set
10.11394,Training set
9.83251,Training set
9.17609,Training set
9.14922,Training set
9.17609,Training set
7.51851,Training set
9.79239,Training set
10.30103,Training set
9.59106,Training set
9.57978,Training set
9.24304,Training set
10.11394,Training set
10,Training set
10.41497,Training set
9.8451,Training set
9.95424,Training set
8.97772,Training set
9.8451,Training set
8.50515,Training set
8.17609,Training set
9.74036,Training set
8.92891,Training set
9.96473,Training set
10.20412,Training set
9.25527,Training set
10.14613,Training set
9.8451,Training set
9.716,Training set
9.11394,Training set
9.23045,Training set
9.39794,Training set
9.43136,Training set
10,Training set
9.49969,Training set
9.69897,Training set
9.07918,Training set
10.20412,Training set
9.79029,Training set
9.44716,Training set
9.6721,Training set
8.54033,Training set
8.11394,Training set
9.39967,Training set
9.07918,Training set
7.59106,Training set
9.87506,Training set
8.67669,Training set
9.59106,Training set
10.00432,Training set
9.50515,Training set
9.90849,Training set
9.77815,Training set
9.66276,Training set
9.77815,Training set
7.94399,Training set
9.77085,Training set
7.11394,Training set
9.32222,Training set
6.96614,Training set
9.47712,Training set
8.50515,Training set
9.6721,Training set
8.9722,Training set
9.14613,Training set
9.20412,Training set
10.11394,Training set
9.716,Training set
10,Training set
8.39794,Training set
9.57978,Training set
9.72016,Training set
8.72428,Training set
9.65321,Training set
9.89542,Training set
9.77085,Training set
9.81291,Training set
9.17609,Training set
9.8451,Training set
9.83251,Training set
9.83885,Training set
7.6721,Training set
8.11394,Training set
9.77815,Training set
7.63347,Training set
8.23045,Training set
8.27875,Training set
10.17609,Training set
10.23045,Training set
9.96379,Training set
9.89209,Training set
7.38021,Training set
9.98722,Training set
9.95999,Training set
9.95904,Training set
9.61278,Training set
9.61278,Training set
9.95376,Training set
9.44716,Training set
9.83885,Training set
8.82607,Training set
10.09691,Training set
10,Training set
9.47422,Training set
9.85126,Training set
9.53148,Training set
10.04139,Training set
9.60206,Training set
9.78319,Training set
8.83251,Training set
10.41497,Training set
9.8451,Training set
9.92993,Training set
10.14613,Training set
9.04139,Training set
10.07918,Training set
9.07918,Training set
10.25527,Training set
9.98227,Training set
9.90849,Training set
8.39794,Training set
9.8202,Training set
9.8451,Training set
9.72997,Training set
9.16732,Training set
9.54407,Training set
9.88593,Training set
9.84011,Training set
9.85733,Training set
9.90309,Training set
8.30103,Training set
9.44716,Training set
9.60959,Training set
10.57978,Training set
9.74036,Training set
9.6721,Training set
9.86923,Training set
9.30103,Training set
7.94988,Training set
9.50515,Training set
9.69897,Training set
9.66276,Training set
9.27875,Training set
9.04139,Training set
9.9345,Training set
9.85974,Training set
9.58995,Training set
9.30103,Training set
9.30103,Training set
9.95424,Training set
9.47712,Training set
8.62325,Training set
10.53148,Training set
9.79029,Training set
9.77232,Training set
10.41497,Training set
9.23045,Training set
10.23045,Training set
9.57054,Training set
10.77815,Training set
9.67025,Training set
9.95376,Training set
10.14613,Training set
9.716,Training set
8.23045,Training set
9.86332,Training set
9.04139,Training set
9.86332,Training set
9.17609,Training set
9.88986,Training set
9.30103,Training set
8.68124,Training set
10.19866,Training set
9.46982,Training set
9.80618,Training set
9.04139,Training set
9.72428,Training set
8.30103,Training set
9.59106,Training set
9.88081,Training set
10.11394,Training set
9.67578,Training set
9.98677,Training set
9.4624,Training set
9.88024,Training set
9.44716,Training set
9.51587,Training set
9.85673,Training set
10,Training set
9.39794,Training set
9.96848,Training set
9.11394,Training set
9.87622,Training set
9.95999,Training set
9.53148,Training set
9.72428,Training set
9.8202,Training set
9.84011,Training set
9.34242,Training set
8.54407,Training set
9.41497,Training set
9.92942,Training set
10.30103,Training set
9.65321,Training set
9.80618,Training set
9.39794,Training set
9.17609,Training set
9.38021,Training set
10.36173,Training set
9.54407,Training set
10.30103,Training set
10.25527,Training set
8.7185,Training set
9.6721,Training set
10.16435,Training set
8.42975,Training set
8.04139,Training set
8.74974,Training set
9.90309,Training set
9.11394,Training set
9.57978,Training set
9.79934,Training set
9.77815,Training set
9.96661,Training set
10.51851,Training set
10.04532,Training set
9.75587,Training set
9.75587,Training set
9.07918,Training set
9.91009,Training set
6.32222,Training set
9.86982,Training set
9.90795,Training set
9.77815,Training set
7.60206,Training set
9.07918,Training set
9.50515,Training set
9.69897,Training set
10.07918,Training set
8.91381,Training set
9.68124,Training set
9.34242,Training set
9.47712,Training set
9.54407,Training set
10.50515,Training set
9.99078,Training set
9.17609,Training set
9.72428,Training set
10.07918,Training set
9.07918,Training set
9.69897,Training set
9.36173,Training set
10.32222,Training set
9.33646,Training set
10.41497,Training set
9.8451,Training set
9.88081,Training set
8.91908,Training set
9.88986,Training set
9.60206,Training set
9.95376,Training set
9.51055,Training set
9.87506,Training set
10.27875,Training set
9.84011,Training set
9.6902,Training set
7.94988,Training set
8.91908,Training set
9.34242,Training set
9.94349,Training set
9.34242,Training set
9.51851,Training set
9.5302,Training set
10,Training set
9.45939,Training set
9.63347,Training set
9.74036,Training set
9.66276,Training set
8.95904,Training set
9.94448,Training set
9.71433,Training set
10.08279,Training set
10.11394,Training set
9.9489,Training set
9.57054,Training set
10.09691,Training set
7.8202,Training set
9.85673,Training set
9.41497,Training set
8.91908,Training set
9.92993,Training set
8.04139,Training set
9.20412,Training set
10.07918,Training set
9.87506,Training set
9.86982,Training set
9.72016,Training set
10.44716,Training set
9.79934,Training set
9.73239,Training set
10.23045,Training set
9.78533,Training set
8.11394,Training set
9.83315,Training set
7.88593,Training set
9.51851,Training set
9.92891,Training set
9.9652,Training set
9.79934,Training set
9.07918,Training set
10.14922,Training set
8.04139,Training set
10.07555,Training set
10.19033,Training set
10.17609,Training set
9.32222,Training set
9.68124,Training set
9.68124,Training set
9.54407,Training set
9.43136,Training set
9.89763,Training set
9.54407,Training set
9.91009,Training set
10.02938,Training set
9.8451,Training set
9.76268,Training set
9.34439,Training set
9.77815,Training set
9.57978,Training set
9.77815,Training set
9.14613,Training set
8.91381,Training set
9.92376,Training set
9.62325,Training set
8.34242,Training set
10,Training set
9.96848,Training set
9.32222,Training set
9.67025,Training set
9.96848,Training set
9.86923,Training set
9.89982,Training set
9.80889,Training set
9.40312,Training set
9.54033,Training set
9.54407,Training set
8.25527,Training set
9.716,Training set
8.25527,Training set
10.25527,Training set
9.58546,Training set
9.94002,Training set
9.4624,Training set
9.30103,Training set
8.2878,Training set
9.41497,Training set
9.51983,Training set
10,Training set
10.14613,Training set
9.74036,Training set
8.07918,Training set
8.66745,Training set
6.30103,Training set
10.51851,Training set
10.20412,Training set
9.94939,Training set
9.44716,Training set
9.91009,Training set
10.20412,Training set
9.99078,Training set
10.11394,Training set
9.88024,Training set
9.68124,Training set
9.34242,Training set
9.11394,Training set
9.77085,Training set
9.85733,Training set
10.13033,Training set
9.23045,Training set
10.23045,Training set
9.90309,Training set
10.36173,Training set
10.02119,Training set
9.76268,Training set
9,Training set
9.57978,Training set
8.80618,Training set
10.47712,Training set
9.95424,Training set
8.8451,Training set
10.04139,Training set
9.17609,Training set
9.74036,Training set
9.09342,Training set
9.30103,Training set
8.11059,Training set
9.85126,Training set
8.63347,Training set
9.44716,Training set
9.77815,Training set
10,Training set
9.07918,Training set
9.20412,Training set
9.91381,Training set
8.89209,Training set
9.6721,Training set
9.85126,Training set
8.30103,Training set
9.2878,Training set
9.4624,Training set
9.80618,Training set
9.57054,Training set
8.77085,Training set
9.39094,Training set
8.63347,Training set
9.53148,Training set
9.47712,Training set
9.81291,Training set
9.58995,Training set
8.17609,Training set
10.27875,Training set
8.07918,Training set
7.77815,Training set
9.79029,Training set
10.30103,Training set
10.0086,Training set
9.44716,Training set
9.86923,Training set
10.04139,Training set
10.14613,Training set
9.23045,Training set
10.14613,Training set
9.58995,Training set
9.82995,Training set
10.17609,Training set
8.30103,Training set
9.32222,Training set
9.4624,Training set
9.89982,Training set
9.36173,Training set
9.42488,Training set
10.30103,Training set
9.4624,Training set
9.77815,Training set
9.27875,Training set
9.72428,Training set
9.6902,Training set
10.07918,Training set
9.86923,Training set
8.17609,Training set
8.8451,Training set
8.72428,Training set
7.85187,Training set
10.25527,Training set
9.96802,Training set
9.82607,Training set
7.39794,Training set
9.47712,Training set
9.73239,Training set
9.39794,Training set
9.94448,Training set
10.23045,Training set
8.57978,Training set
10.04139,Training set
9.716,Training set
9.81291,Training set
9.32222,Training set
8.89209,Training set
10.36173,Training set
9.36173,Training set
10.07918,Training set
9.83315,Training set
10.50515,Training set
10.09342,Training set
9.17609,Training set
9.46687,Training set
9.32222,Training set
9.86982,Training set
9.87506,Training set
10.07918,Training set
8.54654,Training set
9.92012,Training set
10.11394,Training set
9.11394,Training set
10.11394,Training set
9.27875,Training set
9.90795,Training set
9.07918,Training set
9.11394,Training set
9.30103,Training set
9.85673,Training set
10.20412,Training set
9,Training set
9.4624,Training set
9.58995,Training set
9.78032,Training set
9.79169,Training set
9.99388,Training set
10.00432,Training set
8.95904,Training set
9.84011,Training set
7,Training set
9.75587,Training set
7.63347,Training set
9.39794,Training set
9.37475,Training set
9.98227,Training set
9.77815,Training set
9.85733,Training set
9.92993,Training set
9.8451,Training set
8.88081,Training set
9.07918,Training set
8.05308,Training set
10.11394,Training set
9.63849,Training set
10.25527,Training set
9.81291,Training set
9.87506,Training set
9.73239,Training set
9.74036,Training set
9.77815,Training set
8.64345,Training set
9.36173,Training set
9.69897,Training set
9.14613,Training set
9.57978,Training set
9.80618,Training set
9.70842,Training set
9.25768,Training set
10.41497,Training set
9.92012,Training set
9.23045,Training set
9.76268,Training set
9.83885,Training set
9.64345,Training set
7.38021,Training set
7,Training set
9.76268,Training set
10.11394,Training set
9.88649,Training set
8.54407,Training set
8.62325,Training set
9.43775,Training set
8.65321,Training set
10,Training set
10.04139,Training set
9.69108,Training set
9.76343,Training set
9.92376,Training set
9.77815,Training set
9.6721,Training set
9.80618,Training set
9.59106,Training set
10.11394,Training set
9.54407,Training set
10.43136,Training set
9.8451,Training set
10.36173,Training set
9.59106,Training set
9.41497,Training set
9.716,Training set
9.17609,Training set
9.86982,Training set
9.77085,Training set
9.92012,Training set
8.93399,Training set
9.25527,Training set
9.81291,Training set
9.65992,Training set
9.72997,Training set
10.23045,Training set
8.93802,Training set
9.49136,Training set
9.85673,Training set
9.84011,Training set
9.14613,Training set
7.87506,Training set
9.17609,Training set
9.04139,Training set
10,Training set
9.94002,Training set
9.11394,Training set
8.96988,Training set
9.41497,Training set
9.65321,Training set
9.88024,Training set
9.11394,Training set
10.11394,Training set
9.34242,Training set
9.85974,Training set
9.11394,Training set
9.61278,Training set
9.11394,Training set
9.32222,Training set
10.27875,Training set
10.14613,Training set
9.89818,Training set
9.82607,Training set
9.96802,Training set
9.39794,Training set
10.11394,Training set
9.91487,Training set
8.84448,Training set
9.49136,Training set
8.81291,Training set
7.91908,Training set
9.72428,Training set
9.20412,Training set
9.65321,Training set
8.50515,Training set
9.02119,Training set
9.4183,Training set
10.13033,Training set
9.30103,Training set
8.93952,Training set
8.90309,Training set
7.91487,Training set
9.58995,Training set
9.20412,Training set
8.82607,Training set
9.54158,Training set
9.86982,Training set
9.50515,Training set
10.27875,Training set
9.20412,Training set
9.87506,Training set
9.30103,Training set
9.62325,Training set
9.6721,Training set
7.04139,Training set
9.71684,Training set
9.8451,Training set
9.07918,Training set
10.27875,Training set
9.75587,Training set
9.22272,Training set
9.32222,Training set
9.32222,Training set
10,Training set
10.07918,Training set
9.75891,Training set
10.04139,Training set
9.91908,Training set
9.11394,Training set
9.85126,Training set
9.59106,Training set
9.79934,Training set
8.51055,Training set
9.73239,Training set
10.07918,Training set
8.75511,Training set
8.90309,Training set
9.11394,Training set
10.30103,Training set
9.50515,Training set
9.67302,Training set
9.63849,Training set
9.59106,Training set
9.49136,Training set
8.73239,Training set
9.34242,Training set
9.716,Training set
9.92993,Training set
9.85733,Training set
9.34242,Training set
9.60206,Training set
9.6721,Training set
9.73239,Training set
9.88081,Training set
9.86273,Training set
9.99564,Training set
9.43136,Training set
9.45939,Training set
8.38021,Training set
9.51851,Training set
9.25527,Training set
9.72428,Training set
9.36173,Training set
9.14922,Training set
9.38021,Training set
9.79934,Training set
9.47712,Training set
8.95904,Training set
8.17609,Training set
9.65321,Training set
10.17609,Training set
9.49136,Training set
9.44716,Training set
10.07918,Training set
9.6902,Training set
10.25527,Training set
9.81291,Training set
9.96379,Training set
9.81954,Training set
8.20412,Training set
9.51851,Training set
9.72428,Training set
10,Training set
10.04139,Training set
9.11394,Training set
9.91009,Training set
9.20412,Training set
9.98989,Training set
8.47712,Training set
8.07918,Training set
9.8451,Training set
10,Training set
8,Training set
9.64345,Training set
9.11394,Training set
10.17609,Training set
9.90309,Training set
8.77815,Training set
9.80889,Training set
9.79934,Training set
10.11394,Training set
9.72428,Training set
8.50515,Training set
7.90309,Training set
10,Training set
9.74819,Training set
7.57978,Training set
9.14613,Training set
9.91908,Training set
9.85673,Training set
9.90309,Training set
9.63347,Training set
9.47712,Training set
9.50515,Training set
9.36173,Training set
9.83442,Training set
9.55267,Training set
9.85733,Training set
9.43933,Training set
10.03743,Training set
9.73957,Training set
8.91009,Test set
10.41497,Test set
9.77815,Test set
8.17609,Test set
9.66276,Test set
9.61278,Test set
9.97772,Test set
9.32222,Test set
10.23045,Test set
7.69636,Test set
9.39794,Test set
9.63347,Test set
8.86332,Test set
9.91009,Test set
9.79934,Test set
9.14922,Test set
9.84696,Test set
9.23045,Test set
8.90849,Test set
9.30103,Test set
9.59106,Test set
9.73239,Test set
9.86332,Test set
8.51983,Test set
9.6721,Test set
8.81291,Test set
9.76343,Test set
9.8848,Test set
8.70842,Test set
9.39794,Test set
9.92012,Test set
9.78032,Test set
7.11394,Test set
9.95376,Test set
10,Test set
8.69461,Test set
9.14613,Test set
9.30103,Test set
9.51055,Test set
8.6721,Test set
10.27875,Test set
10.17898,Test set
9.85003,Test set
9.91009,Test set
10.38021,Test set
9.73239,Test set
10.04139,Test set
10.25527,Test set
8.93802,Test set
10.32222,Test set
9.90849,Test set
10.23045,Test set
9.88649,Test set
8.59106,Test set
9.25527,Test set
10.04139,Test set
9.58433,Test set
9.11059,Test set
9.89982,Test set
9.90309,Test set
10.07918,Test set
10.04139,Test set
8.57978,Test set
9.39794,Test set
9.20412,Test set
9.39794,Test set
10.04139,Test set
10.04139,Test set
10,Test set
9.85673,Test set
9.32222,Test set
9.11394,Test set
10.30103,Test set
10.25527,Test set
9.20412,Test set
9.8451,Test set
9.32222,Test set
7.39794,Test set
9.716,Test set
9.85126,Test set
9.81023,Test set
9.77012,Test set
9.50515,Test set
10.23045,Test set
9.94002,Test set
10,Test set
10.30103,Test set
10.20412,Test set
8.73239,Test set
10,Test set
9.65321,Test set
8.72428,Test set
9.49136,Test set
8.63347,Test set
9.30103,Test set
8.72428,Test set
7,Test set
10.53148,Test set
9.69897,Test set
9.80003,Test set
9.88593,Test set
9.89982,Test set
8.67669,Test set
9.37475,Test set
9.98989,Test set
9.35793,Test set
10.07918,Test set
10.07918,Test set
10,Test set
9.49136,Test set
9.30103,Test set
9.41497,Test set
9.98182,Test set
8.75967,Test set
7.6902,Test set
10.39794,Test set
8.99388,Test set
9.72428,Test set
9.07918,Test set
8.0086,Test set
9.45025,Test set
9.01703,Test set
9.49136,Test set
9.79309,Test set
10,Test set
10.17609,Test set
9.716,Test set
9.85673,Test set
9.78032,Test set
8.41497,Test set
9.6721,Test set
9.32222,Test set
6.97818,Test set
10.11394,Test set
9.07918,Test set
9.92993,Test set
9.78533,Test set
9.57864,Test set
10.07918,Test set
7.60206,Test set
9.66276,Test set
9.54407,Test set
8.63548,Test set
9.89209,Test set
9.82866,Test set
8.88081,Test set
10.50515,Test set
10.11394,Test set
9.32222,Test set
8.44716,Test set
8.09691,Test set
9.716,Test set
10.20412,Test set
10.07918,Test set
9.14613,Test set
9.17609,Test set
9.86982,Test set
9.98989,Test set
9.04139,Test set
8.87506,Test set
10.30103,Test set
9.77085,Test set
9.25527,Test set
10.17609,Test set
10.11394,Test set
10.07918,Test set
9.90309,Test set
9.74036,Test set
7.94448,Test set
10.14613,Test set
9.04139,Test set
8.86273,Test set
7.38021,Test set
9.39794,Test set
9.23045,Test set
10,Test set
10.11394,Test set
9.74036,Test set
9.90849,Test set
10.04139,Test set
8.92376,Test set
7.20683,Test set
8.23045,Test set
9.25527,Test set
10.04139,Test set
9.38021,Test set
