Experimental value,Predictive value,Class
9.361727836,9.723546167,Training
9.903089987,9.665085362,Training
9.462397998,9.302816766,Training
9.812913357,9.824222768,Training
9.380211242,9.280179583,Training
9.953759692,9.439764345,Training
9.913813852,9.771059114,Training
10,9.802089377,Training
9.342422681,9.094907243,Training
7.968482949,9.684493053,Training
9.84509804,9.712575906,Training
9.812913357,9.824222768,Training
9.785329835,9.685314856,Training
9.672097858,9.74026182,Training
8.653212514,9.15711723,Training
9.079181246,9.764538573,Training
10.04139269,9.941330344,Training
10.17609126,9.631946011,Training
9.591064607,9.490982543,Training
9.940018155,9.83978586,Training
9.079181246,9.230528248,Training
10.17609126,9.340702727,Training
9.710117365,9.711916633,Training
9.996073654,9.895764557,Training
9.94792362,9.847971128,Training
9.924279286,10.0245336,Training
9.968015714,9.867950283,Training
10.30103,10.10741429,Training
8.832508913,8.932507804,Training
9.903089987,9.803159888,Training
9.681241237,9.627715717,Training
9.544068044,9.544321521,Training
9.996073654,9.300722664,Training
9.591064607,9.690805475,Training
8.530199698,9.699520951,Training
7.953759692,9.213458875,Training
8.28780173,8.388232281,Training
9.763427994,9.839207832,Training
9.982271233,9.690805475,Training
9.913813852,9.513289259,Training
8.709269961,8.125566171,Training
9.840106094,9.749543054,Training
9.840106094,9.740144651,Training
9.322219295,9.374406525,Training
9.924279286,9.751722316,Training
7.77815125,8.940753911,Training
9.899820502,9.799730465,Training
8.361727836,8.262242509,Training
9.92992956,9.865470755,Training
9.913813852,9.986623025,Training
7.762678564,7.86245181,Training
9.397940009,9.498435156,Training
8.113943352,8.157936179,Training
9.953759692,9.213458875,Training
9.889861721,9.843275966,Training
9.397940009,9.348583225,Training
8.342422681,8.316079204,Training
9.041392685,9.141268256,Training
9.361727836,9.582359243,Training
9.505149978,9.56373258,Training
9.672097858,9.571724014,Training
9.996073654,9.818525669,Training
9.806179974,9.751138895,Training
9.886490725,9.891932687,Training
10.17609126,10.07630151,Training
9.716003344,9.694261505,Training
9.397940009,9.49774737,Training
10.462398,9.493558187,Training
10.07918125,9.799157677,Training
9.920123326,9.820192007,Training
8.079181246,8.380659251,Training
10.07918125,9.232130757,Training
9.301029996,9.400783889,Training
7.922206277,8.228884034,Training
9.653212514,9.736263664,Training
8.418301291,9.309224371,Training
9.62324929,9.523487845,Training
10.23044892,9.493558187,Training
9.903089987,9.803294621,Training
10,9.900116316,Training
9.635483747,9.778042905,Training
9.959041392,9.858687591,Training
9.600972896,9.631946011,Training
9.602059991,9.608005049,Training
9.892094603,9.631946011,Training
9.204119983,9.443858549,Training
9.176091259,9.339652697,Training
10.04139269,9.98985265,Training
9.903089987,9.898106798,Training
9.792391689,9.892636959,Training
9.505149978,9.390716514,Training
9.84509804,9.857526424,Training
10.14612804,9.957745756,Training
9.69019608,9.789962128,Training
9.361727836,9.506942187,Training
8.73239376,8.670432838,Training
8.709269961,8.125566171,Training
9.694605199,9.794805012,Training
9.84509804,9.887271293,Training
9.792391689,9.887271293,Training
8.667452953,9.308923852,Training
9.899820502,9.800058507,Training
9.204119983,9.390716514,Training
8.414973348,8.564095206,Training
9.899820502,9.800116015,Training
9.92992956,9.918679804,Training
9.544068044,9.152384494,Training
9.609594409,9.720012427,Training
9.84509804,9.767561918,Training
9.612783857,9.700912532,Training
10.07918125,9.979205745,Training
9.804139432,9.868751151,Training
10.07918125,9.979295736,Training
8.079181246,8.380659251,Training
9.230448921,9.540931614,Training
9.230448921,9.379586404,Training
9.791690649,9.694571635,Training
10.11394335,10.01380842,Training
6.85672889,9.566945271,Training
8.953759692,8.817465785,Training
7.230448921,8.548398859,Training
9.698970004,9.671452639,Training
8.301029996,8.559804762,Training
9.720159303,9.620459313,Training
9.462397998,9.562454004,Training
9.989004616,9.887487319,Training
8.11058971,8.355508118,Training
9.653212514,9.570198102,Training
9.568201724,9.502441986,Training
10.25527251,9.959672539,Training
9.716003344,9.616143299,Training
10,9.619630544,Training
10,9.493558187,Training
10.07918125,10.04612332,Training
8.204119983,9.297744288,Training
9.301029996,9.400783889,Training
10.19589965,8.912965081,Training
9.643452676,9.139024232,Training
9.602059991,9.702335419,Training
9.857332496,9.887271293,Training
9.041392685,9.314562787,Training
8.579783597,8.293347279,Training
9.910090546,9.579402677,Training
9.812913357,9.712465614,Training
9.953759692,9.70038226,Training
8.73239376,8.670432838,Training
9.740362689,9.714452025,Training
9.230448921,9.761496236,Training
9.740362689,9.640174914,Training
8.653212514,9.15711723,Training
9.762678564,9.662988967,Training
9.838849091,9.746763216,Training
10,9.679709396,Training
9.62324929,9.723092308,Training
9.790285164,9.690805475,Training
9.562292864,9.546677569,Training
9.755874856,9.840517886,Training
9.740362689,9.77663813,Training
10.51851394,10.04501944,Training
8.77815125,8.974930765,Training
9.681241237,9.58135056,Training
9.886490725,9.818525669,Training
9.462397998,8.355508118,Training
9.910090546,9.811378469,Training
8.770852012,8.670432838,Training
8.301029996,9.158723677,Training
9.602059991,9.415396064,Training
9.840106094,9.780655665,Training
9.913813852,10.01883125,Training
9.361727836,9.54720179,Training
9.838849091,9.623145062,Training
9.6599162,9.700816326,Training
9.77815125,9.093355296,Training
9.880241776,9.780151644,Training
8.892094603,9.819824834,Training
9.799340549,9.748048942,Training
9.342422681,9.213458875,Training
9.556302501,9.713611392,Training
9.146128036,9.213458875,Training
9.021189299,8.920863904,Training
8.820201459,9.080808686,Training
9.462397998,9.430676384,Training
9.740362689,9.628836339,Training
10.23044892,10.13078739,Training
10.34242268,10.05086056,Training
9.84509804,9.818525669,Training
10.36172784,9.931468095,Training
9.230448921,9.400876151,Training
9.86923172,9.964038599,Training
9.146128036,9.57009562,Training
9.204119983,9.403074503,Training
9.681241237,9.781475012,Training
10.14612804,9.304105193,Training
9.812913357,9.712465614,Training
9.352182518,9.452421819,Training
8.342422681,9.345825271,Training
9.837588438,9.986623025,Training
9.255272505,9.403074503,Training
9.255272505,9.156628353,Training
9.833147112,9.737671633,Training
7.859738566,7.996166609,Training
9.826074803,9.858051295,Training
7.69019608,9.170390422,Training
9.762678564,9.789505427,Training
9.301029996,9.300722664,Training
9.72427587,9.824185244,Training
9.204119983,9.428857797,Training
9.62324929,9.722914266,Training
9.643452676,9.573116465,Training
9.399673721,9.388676022,Training
8.84509804,8.945207588,Training
9.568201724,9.551645195,Training
9.204119983,9.339652697,Training
9.850033258,9.854229519,Training
9.390935107,9.491278259,Training
9.556302501,9.897474732,Training
9.869818208,9.947856661,Training
9.933993164,10.01486805,Training
9.414973348,9.493558187,Training
9.62324929,9.723345382,Training
9.204119983,9.336449857,Training
9.964730921,9.865110548,Training
9.51851394,9.371771782,Training
8.227886705,8.883316003,Training
9.491361694,9.56052674,Training
9.51851394,9.618608134,Training
9.447158031,9.391293801,Training
10.47712125,9.390716514,Training
