Experimental value,Predictive value,Class
9.361727836,9.461483415,Training
9.903089987,9.907353857,Training
9.462397998,9.305521171,Training
9.812913357,9.885573942,Training
9.380211242,9.456863703,Training
9.953759692,9.605905876,Training
9.913813852,9.813433559,Training
10,9.968932491,Training
9.342422681,9.242336994,Training
7.968482949,9.616053335,Training
9.84509804,9.758239244,Training
9.812913357,9.885573942,Training
9.785329835,9.780143959,Training
9.672097858,9.750922103,Training
8.653212514,9.098232787,Training
9.079181246,9.660126129,Training
10.04139269,10.12767021,Training
10.17609126,9.669835612,Training
9.591064607,9.491058174,Training
9.940018155,9.840217144,Training
9.079181246,9.179484988,Training
10.17609126,9.435306033,Training
9.710117365,9.780543671,Training
9.996073654,10.01730199,Training
9.94792362,9.848265259,Training
9.924279286,9.824493759,Training
9.968015714,9.867841495,Training
10.30103,10.20098296,Training
8.832508913,8.932647471,Training
9.903089987,9.749865178,Training
9.681241237,9.581519685,Training
9.544068044,9.467333624,Training
9.996073654,9.052722865,Training
9.591064607,9.539701044,Training
8.530199698,8.630200348,Training
7.953759692,9.38966893,Training
8.28780173,8.559950948,Training
9.763427994,9.785748336,Training
9.982271233,9.881942789,Training
9.913813852,9.743837703,Training
8.709269961,8.34501184,Training
9.840106094,9.8199114,Training
9.840106094,9.740100285,Training
9.322219295,9.529795377,Training
9.924279286,9.880964741,Training
7.77815125,8.690481442,Training
9.899820502,9.799836413,Training
8.361727836,8.261749905,Training
9.92992956,9.913684829,Training
9.913813852,9.730858747,Training
7.762678564,7.890743587,Training
9.397940009,9.49829464,Training
8.113943352,8.214130871,Training
9.953759692,9.32171499,Training
9.889861721,9.854707142,Training
9.397940009,9.498237804,Training
8.342422681,8.442422953,Training
9.041392685,9.141252969,Training
9.361727836,9.444891984,Training
9.505149978,9.434351233,Training
9.672097858,9.572039154,Training
9.996073654,9.844193895,Training
9.806179974,9.705997134,Training
9.886490725,9.832913027,Training
10.17609126,10.20172176,Training
9.716003344,9.891397158,Training
9.397940009,9.349180496,Training
10.462398,10.36224286,Training
10.07918125,9.894627498,Training
9.920123326,9.820550409,Training
8.079181246,8.179388202,Training
10.07918125,9.33273396,Training
9.301029996,9.366935744,Training
7.922206277,8.452647928,Training
9.653212514,9.87465787,Training
8.418301291,9.453731868,Training
9.62324929,9.343036591,Training
10.23044892,10.13057062,Training
9.903089987,9.802721301,Training
10,9.900128529,Training
9.635483747,9.780685571,Training
9.959041392,9.858974145,Training
9.600972896,9.617516137,Training
9.602059991,9.610299541,Training
9.892094603,9.669835612,Training
9.204119983,9.358821892,Training
9.176091259,9.55906931,Training
10.04139269,9.916023728,Training
9.903089987,10.00333003,Training
9.792391689,9.692463092,Training
9.505149978,9.398302448,Training
9.84509804,9.944816141,Training
10.14612804,9.905778018,Training
9.69019608,9.635403547,Training
9.361727836,9.494192332,Training
8.73239376,8.8323106,Training
8.709269961,8.34501184,Training
9.694605199,9.79448758,Training
9.84509804,9.852611588,Training
9.792391689,9.898929246,Training
8.667452953,8.767759756,Training
9.899820502,9.799443185,Training
9.204119983,9.398302448,Training
8.414973348,8.673569597,Training
9.899820502,9.800213189,Training
9.92992956,9.830201959,Training
9.544068044,9.194651659,Training
9.609594409,9.709897431,Training
9.84509804,9.945011127,Training
9.612783857,9.679004274,Training
10.07918125,9.979058355,Training
9.804139432,9.904098308,Training
10.07918125,9.979489464,Training
8.079181246,8.179388202,Training
9.230448921,9.255628867,Training
9.230448921,9.511481044,Training
9.791690649,9.691251926,Training
10.11394335,10.01362979,Training
6.85672889,9.375479018,Training
8.953759692,8.853469032,Training
7.230448921,8.887039809,Training
9.698970004,9.790697981,Training
8.301029996,8.540338465,Training
9.720159303,9.640744369,Training
9.462397998,9.411100371,Training
9.989004616,9.865023097,Training
8.11058971,8.685039472,Training
9.653212514,9.743863906,Training
9.568201724,9.572198901,Training
10.25527251,9.850672676,Training
9.716003344,9.189746046,Training
10,9.930399617,Training
10,9.900039407,Training
10.07918125,10.04568136,Training
8.204119983,8.812819118,Training
9.301029996,9.366935744,Training
10.19589965,9.181726537,Training
9.643452676,9.126425217,Training
9.602059991,9.501619506,Training
9.857332496,9.872399517,Training
9.041392685,9.237393704,Training
8.579783597,7.879333253,Training
9.910090546,9.809855919,Training
9.812913357,9.665017562,Training
9.953759692,9.608571277,Training
8.73239376,8.8323106,Training
9.740362689,9.707882985,Training
9.230448921,9.857363804,Training
9.740362689,9.64398093,Training
8.653212514,9.098232787,Training
9.762678564,9.662849167,Training
9.838849091,9.739095106,Training
10,9.899859676,Training
9.62324929,9.569419468,Training
9.790285164,9.881942789,Training
9.562292864,9.473498101,Training
9.755874856,9.686749346,Training
9.740362689,9.69097,Training
10.51851394,10.29281995,Training
8.77815125,8.751188354,Training
9.681241237,9.581009341,Training
9.886490725,9.786626312,Training
9.462397998,8.685039472,Training
9.910090546,9.809735994,Training
8.770852012,8.8323106,Training
8.301029996,9.03990061,Training
9.602059991,9.511433225,Training
9.840106094,9.820775574,Training
9.913813852,9.976671329,Training
9.361727836,9.446294941,Training
9.838849091,9.872582602,Training
9.6599162,9.668126931,Training
9.77815125,9.208779489,Training
9.880241776,9.780283635,Training
8.892094603,9.83303552,Training
9.799340549,9.887555678,Training
9.342422681,9.20029635,Training
9.556302501,9.501880768,Training
9.146128036,9.32171499,Training
9.021189299,9.121219958,Training
8.820201459,8.920221478,Training
9.462397998,9.511993395,Training
9.740362689,9.640289623,Training
10.23044892,10.13044406,Training
10.34242268,10.1549481,Training
9.84509804,9.745301637,Training
10.36172784,9.859087914,Training
9.230448921,9.330807931,Training
9.86923172,9.840683396,Training
9.146128036,9.586037115,Training
9.204119983,9.29083901,Training
9.681241237,9.619300437,Training
10.14612804,9.289058667,Training
9.812913357,9.665017562,Training
9.352182518,9.452047417,Training
8.342422681,9.09039042,Training
9.837588438,9.730858747,Training
9.255272505,9.29083901,Training
9.255272505,9.148497547,Training
9.833147112,9.733189377,Training
7.859738566,8.067605,Training
9.826074803,9.726092805,Training
7.69019608,9.067357799,Training
9.762678564,9.793663347,Training
9.301029996,9.052722865,Training
9.72427587,9.806110848,Training
9.204119983,9.303763925,Training
9.62324929,9.723318858,Training
9.643452676,9.585619403,Training
9.399673721,9.432483269,Training
8.84509804,8.841378821,Training
9.568201724,9.654986612,Training
9.204119983,9.522868608,Training
9.850033258,9.816729964,Training
9.390935107,9.490833651,Training
9.556302501,9.814689231,Training
9.869818208,9.824565367,Training
9.933993164,9.960722864,Training
9.414973348,9.514939847,Training
9.62324929,9.582685833,Training
9.204119983,9.755717912,Training
9.964730921,9.864880109,Training
9.51851394,9.41821364,Training
8.227886705,8.941186801,Training
9.491361694,9.569296057,Training
9.51851394,9.618375921,Training
9.447158031,9.176385456,Training
10.47712125,9.635790194,Training
10.04139269,10.14136505,Training
10,9.458306259,Training
9.792391689,9.892092476,Training
9.910090546,9.810009065,Training
9.77815125,9.669780247,Training
9.866287339,9.784736391,Training
9.397940009,9.497971112,Training
9.799340549,9.699434442,Training
9.380211242,9.480484179,Training
9.810232518,9.717542981,Training
9.146128036,9.224626778,Training
9.505149978,9.605028898,Training
10.11394335,10.01395711,Training
9.857332496,9.757052402,Training
8.767897616,9.551045519,Training
9.397940009,9.497934795,Training
7.698970004,8.533170396,Training
9.230448921,9.330873111,Training
9.276461804,9.376250198,Training
9.762678564,9.862983805,Training
9.84509804,9.795265175,Training
9.680335513,9.780643435,Training
9.643452676,9.505858295,Training
9.565847819,9.66600072,Training
10,9.786626312,Training
9.130333768,9.230228481,Training
9.880241776,9.780685571,Training
8.913813852,9.013531017,Training
9.73239376,9.632076982,Training
9.450249108,9.550312405,Training
9.278753601,9.178422211,Training
10.14921911,10.13056683,Training
9.519827994,9.543016567,Training
9.977723605,10.05900838,Training
7.903089987,8.932194632,Training
10.07918125,9.97917716,Training
8.812913357,9.27816018,Training
9.178976947,9.18520478,Training
9.903089987,9.850404759,Training
8.579783597,9.279708747,Training
9.359835482,9.25959935,Training
9.301029996,9.711656295,Training
9.531478917,9.631780317,Training
8.113943352,8.01901376,Training
9.079181246,9.314157265,Training
9.301029996,9.638366318,Training
9.531478917,9.377885391,Training
9.492760389,9.592938554,Training
10.05690485,9.691758717,Training
9.672097858,9.668148823,Training
9.770852012,9.416899107,Training
9.69019608,9.590043853,Training
9.176091259,9.076262229,Training
9.342422681,9.514174804,Training
9.51054501,9.610793302,Training
9.812913357,9.641271344,Training
8.602059991,9.026722079,Training
9.113943352,9.187863592,Training
9.907948522,9.808077516,Training
9.653212514,9.743863906,Training
9.653212514,9.115484928,Training
9.88592634,9.844193895,Training
8.910090546,9.00994449,Training
9.910624405,9.810415,Training
10.23044892,10.16663435,Training
9,8.802660464,Training
10.14612804,10.24639809,Training
9.662757832,9.634050156,Training
9.851258349,9.787827626,Training
