Experimental value,Predictive value,Class
9.361727836,9.3892962,Training
9.903089987,9.931790152,Training
9.462397998,9.562429922,Training
9.812913357,9.845985173,Training
9.380211242,9.480166752,Training
9.953759692,9.853874583,Training
9.913813852,9.708297286,Training
10,9.946324655,Training
9.342422681,9.242781567,Training
7.968482949,8.78277685,Training
9.84509804,9.875606208,Training
9.812913357,9.845985173,Training
9.785329835,9.760329378,Training
9.672097858,9.669604129,Training
8.653212514,8.752980708,Training
9.079181246,9.348660966,Training
10.04139269,9.941509009,Training
10.17609126,10.07604637,Training
9.591064607,9.691050383,Training
9.940018155,9.839794154,Training
9.079181246,9.179145457,Training
10.17609126,10.07584312,Training
9.710117365,9.635833098,Training
9.996073654,9.895821723,Training
9.94792362,9.893102273,Training
9.924279286,9.823839986,Training
9.968015714,9.868137407,Training
10.30103,10.20103083,Training
8.832508913,8.932808287,Training
9.903089987,9.803635363,Training
9.681241237,9.706015346,Training
9.544068044,9.525682048,Training
9.996073654,9.896102711,Training
9.591064607,9.43019187,Training
8.530199698,8.868315597,Training
7.953759692,9.117804343,Training
8.28780173,8.388120295,Training
9.763427994,9.710359723,Training
9.982271233,9.882179002,Training
9.913813852,9.368415942,Training
8.709269961,8.55721924,Training
9.840106094,9.739949322,Training
9.840106094,9.740239566,Training
9.322219295,9.422384201,Training
9.924279286,9.824240055,Training
7.77815125,7.878205855,Training
9.899820502,9.799475461,Training
8.361727836,8.461967195,Training
9.92992956,9.829945933,Training
9.913813852,9.861136369,Training
7.762678564,8.009531841,Training
9.397940009,9.420653398,Training
8.113943352,8.213676368,Training
9.953759692,9.854015693,Training
9.889861721,9.789619129,Training
9.397940009,9.497868712,Training
8.342422681,8.390710355,Training
9.041392685,9.141336031,Training
9.361727836,9.431100125,Training
9.505149978,9.404919148,Training
9.672097858,9.735321973,Training
9.996073654,9.896095939,Training
9.806179974,9.706433386,Training
9.886490725,9.808578755,Training
10.17609126,10.07588542,Training
9.716003344,9.816221523,Training
9.397940009,9.297731168,Training
10.462398,10.36287199,Training
10.07918125,9.97890096,Training
9.920123326,9.820609516,Training
8.079181246,8.179028691,Training
10.07918125,9.598084039,Training
9.301029996,9.369042033,Training
7.922206277,8.083031453,Training
9.653212514,9.706541198,Training
8.418301291,8.831720328,Training
9.62324929,9.128428828,Training
10.23044892,10.13027973,Training
9.903089987,9.803092107,Training
10,9.90047318,Training
9.635483747,9.780233924,Training
9.959041392,9.796171127,Training
9.600972896,9.417817553,Training
9.602059991,9.701932776,Training
9.892094603,9.918412937,Training
9.204119983,9.140842436,Training
9.176091259,9.08578814,Training
10.04139269,9.941333895,Training
9.903089987,9.803154979,Training
9.792391689,9.706462742,Training
9.505149978,9.405241096,Training
9.84509804,9.74493378,Training
10.14612804,10.04613374,Training
9.69019608,9.790208392,Training
9.361727836,9.716224955,Training
8.73239376,8.705217263,Training
8.709269961,8.55721924,Training
9.694605199,9.705140645,Training
9.84509804,9.895119289,Training
9.792391689,9.892822867,Training
8.667452953,8.767546654,Training
9.899820502,9.799629809,Training
9.204119983,9.405241096,Training
8.414973348,8.390710355,Training
9.899820502,9.80027254,Training
9.92992956,9.829751879,Training
9.544068044,9.536347704,Training
9.609594409,9.7095831,Training
9.84509804,9.915512679,Training
9.612783857,9.712687181,Training
10.07918125,9.979171294,Training
9.804139432,9.904583634,Training
10.07918125,9.979059373,Training
8.079181246,8.179028691,Training
9.230448921,9.330341418,Training
9.230448921,9.330432185,Training
9.791690649,9.691700945,Training
10.11394335,10.01393483,Training
6.85672889,9.070949324,Training
8.953759692,9.053707208,Training
7.230448921,8.158871856,Training
9.698970004,9.754593253,Training
8.301029996,8.55258481,Training
9.720159303,9.713896317,Training
9.462397998,9.542441739,Training
9.989004616,9.889001736,Training
8.11058971,8.173891415,Training
9.653212514,9.736603314,Training
9.568201724,9.668362721,Training
10.25527251,10.15511023,Training
9.716003344,9.627102699,Training
10,9.900231553,Training
10,9.899972248,Training
10.07918125,10.04584819,Training
8.204119983,8.304195555,Training
9.301029996,9.369042033,Training
10.19589965,9.938345836,Training
9.643452676,9.714777248,Training
9.602059991,9.501707802,Training
9.857332496,9.757371332,Training
9.041392685,9.141865257,Training
8.579783597,8.031416368,Training
9.910090546,9.809939674,Training
9.812913357,9.733992449,Training
9.953759692,9.853864147,Training
8.73239376,8.705217263,Training
9.740362689,9.640485765,Training
9.230448921,9.330884645,Training
9.740362689,9.72592038,Training
8.653212514,8.752980708,Training
9.762678564,9.704375405,Training
9.838849091,9.738860443,Training
10,9.899851594,Training
9.62324929,9.723512576,Training
9.790285164,9.899273935,Training
9.562292864,9.662684744,Training
9.755874856,9.675257767,Training
9.740362689,9.687595275,Training
10.51851394,10.41830924,Training
8.77815125,8.8785333,Training
9.681241237,9.581466974,Training
9.886490725,9.808578755,Training
