Experimental value,Predictive value,Class
9.361727836,9.26156101,Training
9.903089987,9.808433329,Training
9.462397998,9.562601781,Training
9.812913357,9.899795852,Training
9.380211242,9.280276562,Training
9.953759692,9.853598657,Training
9.913813852,9.814248087,Training
10,9.808433329,Training
9.342422681,9.237884074,Training
7.968482949,8.229856623,Training
9.84509804,9.931092168,Training
9.812913357,9.899795852,Training
9.785329835,9.685509523,Training
9.672097858,9.430639955,Training
8.653212514,8.73303998,Training
9.079181246,9.179509402,Training
10.04139269,10.06009248,Training
10.17609126,10.07607143,Training
9.591064607,9.689436524,Training
9.940018155,10.03153727,Training
9.079181246,9.179434431,Training
10.17609126,9.48632906,Training
9.710117365,9.810520592,Training
9.996073654,9.896432308,Training
9.94792362,9.847741925,Training
9.924279286,9.798566176,Training
9.968015714,9.867673311,Training
10.30103,10.20124345,Training
8.832508913,8.928575393,Training
9.903089987,9.802677631,Training
9.681241237,9.780889702,Training
9.544068044,8.832164175,Training
9.996073654,9.407346766,Training
9.591064607,9.602081001,Training
8.530199698,9.654795099,Training
7.953759692,9.209210749,Training
8.28780173,8.187680636,Training
9.763427994,9.863454042,Training
9.982271233,9.901593176,Training
9.913813852,9.813862728,Training
8.709269961,8.609569441,Training
9.840106094,9.940436783,Training
9.840106094,9.740003415,Training
9.322219295,9.527460856,Training
9.924279286,10.02015102,Training
7.77815125,8.520396423,Training
9.899820502,9.84905856,Training
8.361727836,8.461900304,Training
9.92992956,9.948538243,Training
9.913813852,9.905999057,Training
7.762678564,7.862514666,Training
9.397940009,9.497857013,Training
8.113943352,8.076282118,Training
9.953759692,9.790911833,Training
9.889861721,9.819834657,Training
9.397940009,9.49770264,Training
8.342422681,8.323034868,Training
9.041392685,9.14115205,Training
9.361727836,9.33617562,Training
9.505149978,9.430639955,Training
9.672097858,9.771908747,Training
9.996073654,9.931092168,Training
9.806179974,8.832164175,Training
9.886490725,9.701974026,Training
10.17609126,10.09285132,Training
9.716003344,9.838385422,Training
9.397940009,9.130639086,Training
10.462398,9.891972073,Training
10.07918125,9.978739412,Training
9.920123326,9.84905856,Training
8.079181246,8.201341765,Training
10.07918125,9.979225888,Training
9.301029996,8.832164175,Training
7.922206277,8.02209673,Training
9.653212514,9.552916202,Training
8.418301291,9.493784425,Training
9.62324929,9.33617562,Training
10.23044892,10.05068434,Training
9.903089987,9.999862925,Training
10,10.09983315,Training
9.635483747,9.780047401,Training
