Experimental value,Predictive value,Class
9.361727836,9.318223815,Training
9.903089987,9.961232752,Training
9.462397998,9.562243097,Training
9.812913357,9.820163412,Training
9.380211242,9.479954443,Training
9.953759692,9.853988851,Training
9.913813852,9.81399886,Training
10,9.94018971,Training
9.342422681,9.241941238,Training
7.968482949,8.860509675,Training
9.84509804,9.895495757,Training
9.812913357,9.820163412,Training
9.785329835,9.751947046,Training
9.672097858,9.722588579,Training
8.653212514,8.753129063,Training
9.079181246,9.420498371,Training
10.04139269,9.987895169,Training
10.17609126,10.0757944,Training
9.591064607,9.691167036,Training
9.940018155,9.840166218,Training
9.079181246,9.179248882,Training
10.17609126,10.07601799,Training
9.710117365,9.663638531,Training
9.996073654,9.900741214,Training
9.94792362,9.89243516,Training
9.924279286,9.824208508,Training
9.968015714,9.867861262,Training
10.30103,10.20097178,Training
8.832508913,8.932425957,Training
9.903089987,9.803062687,Training
9.681241237,9.706585167,Training
9.544068044,9.542967799,Training
9.996073654,9.895978751,Training
9.591064607,9.490922067,Training
8.530199698,8.939622832,Training
7.953759692,9.05749342,Training
8.28780173,8.415804289,Training
9.763427994,9.71540914,Training
9.982271233,9.882099031,Training
9.913813852,9.345240138,Training
8.709269961,8.512462995,Training
9.840106094,9.746790613,Training
9.840106094,9.740069255,Training
9.322219295,9.421731337,Training
9.924279286,9.824279253,Training
7.77815125,7.878243081,Training
9.899820502,9.800017398,Training
8.361727836,8.461677785,Training
9.92992956,9.829603645,Training
9.913813852,9.871236107,Training
7.762678564,8.06104596,Training
9.397940009,9.413699872,Training
8.113943352,8.173899165,Training
9.953759692,9.684411048,Training
9.889861721,9.79005041,Training
9.397940009,9.497706668,Training
8.342422681,8.369166306,Training
9.041392685,9.141375245,Training
9.361727836,9.36886739,Training
9.505149978,9.405239994,Training
9.672097858,9.72243594,Training
9.996073654,9.896313675,Training
9.806179974,9.706056561,Training
9.886490725,9.829815327,Training
10.17609126,10.07629651,Training
9.716003344,9.81560133,Training
9.397940009,9.29747881,Training
10.462398,10.36208974,Training
10.07918125,9.979364469,Training
9.920123326,9.819692155,Training
8.079181246,8.268787885,Training
10.07918125,9.637160322,Training
9.301029996,9.379521164,Training
7.922206277,8.10810145,Training
9.653212514,9.704535409,Training
8.418301291,8.898483744,Training
9.62324929,9.195869881,Training
10.23044892,10.13077095,Training
9.903089987,9.802964513,Training
10,9.900048854,Training
9.635483747,9.780435779,Training
9.959041392,9.800149021,Training
9.600972896,9.500810901,Training
9.602059991,9.701812932,Training
9.892094603,9.967540622,Training
9.204119983,9.159732956,Training
9.176091259,9.186250555,Training
10.04139269,9.95873562,Training
9.903089987,9.865885534,Training
9.792391689,9.707394124,Training
9.505149978,9.405307939,Training
9.84509804,9.744728933,Training
10.14612804,10.04607033,Training
9.69019608,9.790080999,Training
9.361727836,9.699679401,Training
8.73239376,8.632236459,Training
8.709269961,8.512462995,Training
9.694605199,9.709608751,Training
9.84509804,9.878765006,Training
9.792391689,9.892315032,Training
8.667452953,8.767118786,Training
9.899820502,9.799861051,Training
9.204119983,9.405307939,Training
8.414973348,8.336863057,Training
9.899820502,9.799610629,Training
9.92992956,9.830016115,Training
9.544068044,9.506848568,Training
9.609594409,9.709410981,Training
9.84509804,9.945146823,Training
9.612783857,9.67446675,Training
10.07918125,9.979366456,Training
9.804139432,9.90388308,Training
10.07918125,9.978834513,Training
8.079181246,8.268787885,Training
9.230448921,9.330093396,Training
9.230448921,9.33019655,Training
9.791690649,9.691802382,Training
10.11394335,10.01349397,Training
6.85672889,9.030148041,Training
8.953759692,9.054095073,Training
7.230448921,8.070319873,Training
9.698970004,9.781435031,Training
8.301029996,8.55975829,Training
9.720159303,9.683045406,Training
9.462397998,9.542927281,Training
9.989004616,9.88886981,Training
8.11058971,8.210575881,Training
9.653212514,9.714008932,Training
9.568201724,9.668174221,Training
10.25527251,10.07658776,Training
9.716003344,9.622164393,Training
10,9.900137867,Training
10,9.899945387,Training
10.07918125,10.046319,Training
8.204119983,8.304431572,Training
9.301029996,9.379521164,Training
10.19589965,9.852952765,Training
9.643452676,9.679504671,Training
9.602059991,9.617790076,Training
9.857332496,9.757284062,Training
9.041392685,9.141747381,Training
8.579783597,8.473577893,Training
9.910090546,9.81025981,Training
9.812913357,9.712746068,Training
9.953759692,9.853920171,Training
8.73239376,8.632236459,Training
9.740362689,9.640202679,Training
9.230448921,9.346585554,Training
9.740362689,9.725619924,Training
8.653212514,8.753129063,Training
9.762678564,9.705494842,Training
9.838849091,9.738970458,Training
10,9.900056507,Training
9.62324929,9.723249202,Training
9.790285164,9.925581025,Training
9.562292864,9.620819063,Training
9.755874856,9.656893372,Training
9.740362689,9.657321782,Training
10.51851394,10.41837472,Training
8.77815125,8.87849331,Training
9.681241237,9.604985123,Training
9.886490725,9.786598691,Training
9.462397998,9.361993432,Training
9.910090546,9.810313149,Training
8.770852012,8.670773303,Training
8.301029996,8.65191172,Training
9.602059991,9.702202299,Training
9.840106094,9.740186199,Training
9.913813852,9.925506738,Training
9.361727836,9.461654574,Training
9.838849091,9.782802969,Training
9.6599162,9.708423263,Training
9.77815125,9.67816706,Training
9.880241776,9.779784577,Training
8.892094603,9.439431211,Training
9.799340549,9.899648516,Training
9.342422681,9.04648582,Training
9.556302501,9.475149784,Training
9.146128036,9.04648582,Training
9.021189299,9.12068328,Training
8.820201459,8.92000714,Training
9.462397998,9.133204753,Training
9.740362689,9.65266079,Training
10.23044892,10.13061903,Training
10.34242268,10.24248993,Training
9.84509804,9.945496379,Training
10.36172784,10.26205141,Training
9.230448921,9.330820862,Training
9.86923172,9.768998432,Training
9.146128036,9.246351905,Training
9.204119983,9.242298546,Training
9.681241237,9.67866862,Training
10.14612804,9.874779754,Training
9.812913357,9.712746068,Training
9.352182518,9.452320443,Training
8.342422681,8.703102591,Training
9.837588438,9.737730395,Training
9.255272505,9.242298546,Training
9.255272505,9.142810759,Training
9.833147112,9.733378353,Training
7.859738566,8.037696393,Training
9.826074803,9.726082906,Training
7.69019608,7.991659854,Training
9.762678564,9.662259762,Training
9.301029996,9.270596421,Training
9.72427587,9.82443123,Training
9.204119983,9.304249004,Training
9.62324929,9.708184012,Training
9.643452676,9.743827496,Training
9.399673721,9.418623149,Training
8.84509804,8.815063097,Training
9.568201724,9.667947403,Training
9.204119983,9.062274872,Training
9.850033258,9.757046309,Training
9.390935107,9.491004496,Training
9.556302501,9.701967916,Training
9.869818208,9.864648298,Training
9.933993164,9.833769543,Training
9.414973348,9.515233923,Training
9.62324929,9.5549328,Training
9.204119983,9.337424374,Training
9.964730921,9.864840573,Training
9.51851394,9.36914698,Training
8.227886705,8.327838074,Training
9.491361694,9.591049059,Training
9.51851394,9.618553683,Training
9.447158031,9.40041507,Training
10.47712125,10.37685409,Training
10.04139269,9.941520852,Training
10,9.900176838,Training
9.792391689,9.892045846,Training
9.910090546,9.810439765,Training
9.77815125,9.740743944,Training
9.866287339,9.76635135,Training
9.397940009,9.498154444,Training
9.799340549,9.699438983,Training
9.380211242,9.425086392,Training
9.810232518,9.710659203,Training
9.146128036,9.046293413,Training
9.505149978,9.605170512,Training
10.11394335,10.01406071,Training
9.857332496,9.757469109,Training
8.767897616,9.366770832,Training
9.397940009,9.497970175,Training
7.698970004,8.494846553,Training
9.230448921,9.330176177,Training
9.276461804,9.376440727,Training
9.762678564,9.698586232,Training
9.84509804,9.873534388,Training
9.680335513,9.71600141,Training
9.643452676,9.467834794,Training
9.565847819,9.665812498,Training
10,9.899949049,Training
9.130333768,9.229991765,Training
9.880241776,9.780435779,Training
8.913813852,8.813587526,Training
9.73239376,9.638199897,Training
9.450249108,9.350258838,Training
9.278753601,9.262670132,Training
10.14921911,10.04924094,Training
9.519827994,9.619926145,Training
9.977723605,9.900348385,Training
7.903089987,8.003036415,Training
10.07918125,9.978867685,Training
8.812913357,8.713009993,Training
9.178976947,9.123886936,Training
9.903089987,9.80320467,Training
8.579783597,8.73537857,Training
9.359835482,9.459755992,Training
9.301029996,9.400900326,Training
9.531478917,9.631548466,Training
8.113943352,7.747818559,Training
9.079181246,9.399750819,Training
9.301029996,9.40107373,Training
9.531478917,9.631831856,Training
9.492760389,9.59274402,Training
10.05690485,9.956945806,Training
9.672097858,9.707317003,Training
9.770852012,9.630094642,Training
9.69019608,9.621917636,Training
9.176091259,9.274098395,Training
9.342422681,9.264319054,Training
9.51054501,9.610507538,Training
9.812913357,9.734866117,Training
8.602059991,8.674248085,Training
9.113943352,9.213486179,Training
9.907948522,9.807676388,Training
9.653212514,9.714008932,Training
9.653212514,9.126122494,Training
9.88592634,9.786147035,Training
8.910090546,9.009662911,Training
9.910624405,9.810506314,Training
10.23044892,10.13051579,Training
9,8.95356502,Training
10.14612804,10.04615152,Training
9.662757832,9.707841876,Training
9.851258349,9.751274555,Training
9.792391689,9.692421177,Training
9.62324929,9.540073901,Training
9.491361694,9.590884749,Training
8.511883361,8.276372409,Training
9.936010796,9.836037678,Training
8.079181246,9.074302226,Training
9.69019608,9.790080999,Training
7.903089987,8.380967081,Training
8.698970004,8.798795728,Training
9.98721923,9.887677659,Training
10.17609126,10.07627085,Training
9.92992956,9.8300275,Training
9.812913357,9.744181537,Training
10.11394335,10.01399481,Training
9.322219295,9.222481218,Training
8.505149978,8.405006849,Training
9.7084209,9.671588822,Training
9.491361694,9.591422099,Training
9.720159303,9.683045406,Training
9.397940009,9.498004608,Training
10.07918125,9.97927892,Training
8.591064607,8.458860366,Training
9.716003344,9.616055447,Training
8.820201459,8.719927929,Training
9.84509804,9.927804013,Training
9.833147112,9.82614418,Training
9.699837726,9.68267239,Training
10,9.979169405,Training
9.73239376,9.832526983,Training
8.230448921,8.413848709,Training
9.903089987,9.803240002,Training
10.07918125,9.979024351,Training
8.888179494,8.988294755,Training
9.799340549,9.709377158,Training
9.612783857,9.712840387,Training
7.820201459,7.919802815,Training
9.875061263,9.871866115,Training
8.953759692,9.053648457,Training
9.397940009,9.385305207,Training
10.11394335,10.01383028,Training
9.84509804,9.74527888,Training
7.922206277,8.10810145,Training
9.770115295,9.670066859,Training
10.13672057,10.23690617,Training
10.11394335,10.01396546,Training
10.17609126,10.07618735,Training
9.880241776,9.780435779,Training
7.69019608,8.897656548,Training
9.889861721,9.733439883,Training
9.820201459,9.720372449,Training
9.491361694,9.524572635,Training
9.278753601,9.341720712,Training
9.204119983,9.283141552,Training
9.84509804,9.945496379,Training
7.963787827,8.064169176,Training
9.477121255,9.577007507,Training
9.790285164,9.888235817,Training
9.729974286,9.71606736,Training
9.361727836,9.461737531,Training
8.301029996,8.427709983,Training
9.812913357,9.712991004,Training
9.62324929,9.597591079,Training
9.178976947,9.123886936,Training
9.973127854,9.872757771,Training
9.718501689,9.706508565,Training
9.257678575,9.304538253,Training
9.230448921,9.416667179,Training
9.041392685,9.141368512,Training
9.850033258,9.750207435,Training
10.07918125,9.979122962,Training
7.832508913,8.666888348,Training
9.204119983,9.26142517,Training
10.13672057,10.03653574,Training
9.599883072,9.679105977,Training
9.833147112,9.733458029,Training
9.910090546,9.810328024,Training
8.31386722,8.466497786,Training
9.736396502,9.413597426,Training
10.11394335,10.01404569,Training
9.832508913,9.932520754,Training
9.176091259,9.276332674,Training
9.149219113,9.502589509,Training
9.176091259,9.276391502,Training
7.51851394,7.957853288,Training
9.792391689,9.892257795,Training
10.30103,10.20082153,Training
9.591064607,9.691234112,Training
9.579783597,9.690523948,Training
9.243038049,9.265273569,Training
10.11394335,10.0138353,Training
10,9.899679522,Training
10.41497335,10.31519128,Training
9.84509804,9.802459798,Training
9.954242509,9.85430506,Training
8.977723605,8.877476767,Training
9.84509804,9.744624508,Training
8.505149978,8.605142038,Training
8.176091259,8.810441942,Training
9.740362689,9.712960251,Training
8.92890769,9.028970441,Training
9.964730921,9.864319805,Training
10.20411998,10.10423119,Training
9.255272505,9.252726954,Training
10.14612804,10.0461717,Training
