Experimental value,Predictive value,Class
9.361727836,9.400073688,Training
9.903089987,9.822963035,Training
9.462397998,9.411675948,Training
9.812913357,9.758661674,Training
9.380211242,9.480042174,Training
9.953759692,9.853665262,Training
9.913813852,9.813569657,Training
10,9.900077625,Training
9.342422681,9.242330837,Training
7.968482949,9.428262616,Training
9.84509804,9.745298522,Training
9.812913357,9.758661674,Training
9.785329835,9.6853121,Training
9.672097858,9.772075238,Training
8.653212514,8.75338287,Training
9.079181246,9.279664979,Training
10.04139269,10.1418035,Training
10.17609126,10.07599467,Training
9.591064607,9.610530581,Training
9.940018155,9.840244395,Training
9.079181246,9.179038752,Training
10.17609126,9.514740246,Training
9.710117365,9.630834079,Training
9.996073654,9.896133622,Training
9.94792362,9.847973553,Training
9.924279286,9.824353838,Training
9.968015714,9.867903063,Training
10.30103,10.20106716,Training
8.832508913,8.932323733,Training
9.903089987,9.803430181,Training
9.681241237,9.669577919,Training
9.544068044,9.57683578,Training
9.996073654,9.388201018,Training
9.591064607,9.477226236,Training
8.530199698,9.358299012,Training
7.953759692,9.166240417,Training
8.28780173,8.387642373,Training
9.763427994,9.73371809,Training
9.982271233,9.794355989,Training
9.913813852,9.428455078,Training
8.709269961,8.580107791,Training
9.840106094,9.745222414,Training
9.840106094,9.740147085,Training
9.322219295,9.422150887,Training
9.924279286,9.871569574,Training
7.77815125,7.991289175,Training
9.899820502,9.799771024,Training
8.361727836,8.461719646,Training
9.92992956,9.830174178,Training
9.913813852,9.962574383,Training
7.762678564,7.862821045,Training
9.397940009,9.486168065,Training
8.113943352,8.013745844,Training
9.953759692,9.075260311,Training
9.889861721,9.807662425,Training
9.397940009,9.429229671,Training
8.342422681,8.442390423,Training
9.041392685,9.141516515,Training
9.361727836,9.41252698,Training
9.505149978,9.553783113,Training
9.672097858,9.68240197,Training
9.996073654,9.870127935,Training
9.806179974,9.705870864,Training
9.886490725,9.890579532,Training
10.17609126,10.07608112,Training
9.716003344,9.816029926,Training
9.397940009,9.297706097,Training
10.462398,10.136996,Training
10.07918125,9.979169599,Training
9.920123326,9.820277976,Training
8.079181246,8.179122546,Training
10.07918125,9.161306828,Training
9.301029996,9.400833606,Training
7.922206277,8.021840134,Training
9.653212514,9.706294957,Training
8.418301291,9.433852398,Training
9.62324929,9.025746271,Training
10.23044892,10.13000823,Training
9.903089987,9.803077774,Training
10,9.899997239,Training
9.635483747,9.780172923,Training
9.959041392,9.878063489,Training
9.600972896,9.500905776,Training
9.602059991,9.673126144,Training
9.892094603,9.991908985,Training
9.204119983,9.183942761,Training
9.176091259,9.460878648,Training
10.04139269,10.14145624,Training
9.903089987,9.803051889,Training
9.792391689,9.69263499,Training
9.505149978,9.405013929,Training
9.84509804,9.944978449,Training
10.14612804,10.04643003,Training
9.69019608,9.86559393,Training
9.361727836,9.606468589,Training
8.73239376,8.63379059,Training
8.709269961,8.580107791,Training
9.694605199,9.688890578,Training
9.84509804,9.774736909,Training
9.792391689,9.878063489,Training
8.667452953,9.474810314,Training
9.899820502,9.79973847,Training
9.204119983,9.405013929,Training
8.414973348,8.314964839,Training
