Experimental value,Predictive value,Class
9.361727836,9.261553831,Training
9.903089987,9.886493613,Training
9.462397998,9.562265269,Training
9.812913357,9.862298077,Training
9.380211242,9.379064777,Training
9.953759692,9.854110791,Training
9.913813852,9.967107844,Training
10,9.903481733,Training
9.342422681,9.242026594,Training
7.968482949,8.068963183,Training
9.84509804,9.945428811,Training
9.812913357,9.862298077,Training
9.785329835,9.685173332,Training
9.672097858,9.713371521,Training
8.653212514,8.753217043,Training
9.079181246,9.179450168,Training
10.04139269,9.941500684,Training
10.17609126,10.07647217,Training
9.591064607,9.490864879,Training
9.940018155,10.01045259,Training
9.079181246,9.179190418,Training
10.17609126,10.07600051,Training
9.710117365,9.610154856,Training
9.996073654,9.896285804,Training
9.94792362,9.847972037,Training
9.924279286,10.02449882,Training
9.968015714,9.8677983,Training
10.30103,10.2013255,Training
8.832508913,8.932670142,Training
9.903089987,9.802994842,Training
9.681241237,9.617207651,Training
9.544068044,9.515080072,Training
9.996073654,9.895654561,Training
9.591064607,9.490958253,Training
8.530199698,8.629930057,Training
7.953759692,8.054121669,Training
8.28780173,8.388197114,Training
9.763427994,9.757322876,Training
9.982271233,9.88388046,Training
9.913813852,9.813848739,Training
8.709269961,8.609265101,Training
9.840106094,9.740194061,Training
9.840106094,9.739780828,Training
9.322219295,9.42226374,Training
9.924279286,9.872964457,Training
7.77815125,7.87808118,Training
9.899820502,9.79985721,Training
8.361727836,8.461961786,Training
9.92992956,9.830002326,Training
9.913813852,9.86807116,Training
7.762678564,7.86315005,Training
9.397940009,9.352833975,Training
8.113943352,8.123017615,Training
9.953759692,9.853364164,Training
9.889861721,9.808294414,Training
9.397940009,9.498209112,Training
8.342422681,8.288791947,Training
9.041392685,9.141375179,Training
9.361727836,9.461662969,Training
9.505149978,9.605426439,Training
9.672097858,9.634562514,Training
9.996073654,9.896404389,Training
9.806179974,9.706111735,Training
9.886490725,9.790688558,Training
10.17609126,10.07622738,Training
9.716003344,9.816130734,Training
9.397940009,9.298131226,Training
10.462398,10.36224433,Training
10.07918125,10.00482413,Training
9.920123326,9.81980814,Training
8.079181246,8.179436444,Training
10.07918125,9.979046363,Training
9.301029996,9.401365624,Training
7.922206277,8.022027972,Training
9.653212514,9.580116109,Training
8.418301291,8.51790483,Training
9.62324929,9.304279606,Training
10.23044892,10.13030097,Training
9.903089987,9.852266361,Training
10,9.899624521,Training
9.635483747,9.780071339,Training
9.959041392,9.85908506,Training
9.600972896,9.500851113,Training
9.602059991,9.621939363,Training
9.892094603,9.978635858,Training
9.204119983,9.293199956,Training
9.176091259,9.275881347,Training
10.04139269,9.941548497,Training
9.903089987,9.813536868,Training
9.792391689,9.692190525,Training
9.505149978,9.404944676,Training
9.84509804,9.806748087,Training
10.14612804,10.04624007,Training
9.69019608,9.790223391,Training
9.361727836,9.598573204,Training
8.73239376,8.689354975,Training
8.709269961,8.609265101,Training
9.694605199,9.594665678,Training
9.84509804,9.785662029,Training
9.792391689,9.781262051,Training
8.667452953,8.767588252,Training
9.899820502,9.799500143,Training
9.204119983,9.404944676,Training
8.414973348,8.474793657,Training
9.899820502,9.79932426,Training
9.92992956,9.829783693,Training
9.544068044,9.643969892,Training
9.609594409,9.709403156,Training
9.84509804,9.922442533,Training
9.612783857,9.712705999,Training
10.07918125,9.979078447,Training
9.804139432,9.903747452,Training
10.07918125,10.03194384,Training
8.079181246,8.179436444,Training
9.230448921,9.330811833,Training
9.230448921,9.330159992,Training
9.791690649,9.691686512,Training
10.11394335,10.01420458,Training
6.85672889,6.956684321,Training
8.953759692,8.947188162,Training
7.230448921,7.33044847,Training
9.698970004,9.798757467,Training
8.301029996,8.446264684,Training
9.720159303,9.620379873,Training
9.462397998,9.39346243,Training
9.989004616,9.888843325,Training
8.11058971,8.010494698,Training
9.653212514,9.553163406,Training
9.568201724,9.621720152,Training
10.25527251,10.15526218,Training
9.716003344,9.616262219,Training
10,9.899936869,Training
10,9.900329686,Training
10.07918125,10.04613294,Training
8.204119983,8.303767261,Training
9.301029996,9.401365624,Training
10.19589965,10.09552449,Training
9.643452676,9.598733779,Training
9.602059991,9.70226884,Training
9.857332496,9.75735629,Training
9.041392685,9.141772151,Training
8.579783597,8.479649941,Training
9.910090546,9.809727894,Training
9.812913357,9.91306034,Training
9.953759692,9.853964632,Training
8.73239376,8.689354975,Training
9.740362689,9.640318295,Training
9.230448921,9.330799556,Training
9.740362689,9.840389948,Training
8.653212514,8.753217043,Training
9.762678564,9.662683605,Training
9.838849091,9.89710526,Training
10,9.900123859,Training
9.62324929,9.807685876,Training
9.790285164,9.890531826,Training
9.562292864,9.462271778,Training
9.755874856,9.810608533,Training
9.740362689,9.840097217,Training
10.51851394,10.61889777,Training
