Experimental value,Predictive value,Class
9.361727836,9.462204601,Training
9.903089987,10.00298153,Training
9.462397998,9.561898893,Training
9.812913357,9.825849771,Training
9.380211242,9.459421766,Training
9.953759692,9.853410493,Training
9.913813852,10.01404998,Training
10,10.00750791,Training
9.342422681,9.442221141,Training
7.968482949,8.068454058,Training
9.84509804,9.745360652,Training
9.812913357,9.825849771,Training
9.785329835,9.685281349,Training
9.672097858,9.637383203,Training
8.653212514,8.753091867,Training
9.079181246,9.179530382,Training
10.04139269,9.941696549,Training
10.17609126,10.07632369,Training
9.591064607,9.532045807,Training
9.940018155,9.886917752,Training
9.079181246,9.179002496,Training
10.17609126,10.07614045,Training
9.710117365,9.609697288,Training
9.996073654,9.896090576,Training
9.94792362,9.940655773,Training
9.924279286,9.937520981,Training
9.968015714,9.868322557,Training
10.30103,10.20076095,Training
8.832508913,8.932725887,Training
9.903089987,10.003013,Training
9.681241237,9.581469469,Training
9.544068044,9.521169546,Training
9.996073654,9.896098911,Training
9.591064607,9.491014935,Training
8.530199698,8.630182843,Training
7.953759692,8.053518103,Training
8.28780173,8.387687913,Training
9.763427994,9.663421792,Training
9.982271233,10.08251924,Training
9.913813852,10.01340444,Training
8.709269961,8.609621038,Training
9.840106094,9.758726756,Training
9.840106094,9.740500637,Training
9.322219295,9.222130591,Training
9.924279286,9.824586919,Training
7.77815125,7.878192978,Training
9.899820502,9.799795272,Training
8.361727836,8.261765093,Training
9.92992956,9.874556067,Training
9.913813852,9.814064597,Training
7.762678564,7.862658663,Training
9.397940009,9.497556859,Training
8.113943352,8.076082188,Training
9.953759692,10.05408249,Training
9.889861721,9.875113414,Training
9.397940009,9.498339261,Training
8.342422681,8.442609922,Training
9.041392685,9.1412195,Training
9.361727836,9.438883958,Training
9.505149978,9.605043323,Training
9.672097858,9.577411738,Training
9.996073654,10.03297912,Training
9.806179974,9.706453942,Training
9.886490725,9.986488659,Training
10.17609126,10.07621374,Training
9.716003344,9.816058172,Training
9.397940009,9.298350976,Training
10.462398,10.36260885,Training
10.07918125,9.979493095,Training
9.920123326,9.820164767,Training
8.079181246,8.179181239,Training
10.07918125,9.979047863,Training
9.301029996,9.401060212,Training
7.922206277,8.022536195,Training
9.653212514,9.553335667,Training
8.418301291,8.517972083,Training
9.62324929,9.522967331,Training
10.23044892,10.12997836,Training
9.903089987,9.803082596,Training
10,9.899809029,Training
9.635483747,9.780255479,Training
9.959041392,9.858975146,Training
9.600972896,9.501261576,Training
9.602059991,9.608179227,Training
9.892094603,9.99227432,Training
9.204119983,9.226547222,Training
9.176091259,9.276019022,Training
10.04139269,9.941555544,Training
9.903089987,9.803275304,Training
9.792391689,9.691884776,Training
9.505149978,9.405088311,Training
9.84509804,9.919400051,Training
10.14612804,10.04610249,Training
9.69019608,9.590146055,Training
9.361727836,9.510287228,Training
8.73239376,8.832484127,Training
8.709269961,8.609621038,Training
9.694605199,9.752946267,Training
9.84509804,9.868639437,Training
9.792391689,9.892115258,Training
8.667452953,8.767493692,Training
9.899820502,9.799935651,Training
9.204119983,9.405088311,Training
8.414973348,8.514797715,Training
9.899820502,9.800031561,Training
9.92992956,9.830071529,Training
9.544068044,9.454709857,Training
9.609594409,9.677815139,Training
9.84509804,9.834811119,Training
9.612783857,9.71286057,Training
10.07918125,9.97912384,Training
9.804139432,9.903858772,Training
10.07918125,10.17922117,Training
8.079181246,8.179181239,Training
9.230448921,9.330594268,Training
9.230448921,9.330767291,Training
9.791690649,9.691862066,Training
10.11394335,10.01441455,Training
6.85672889,6.957069074,Training
8.953759692,9.053609916,Training
7.230448921,7.330674044,Training
9.698970004,9.799218735,Training
8.301029996,8.446581919,Training
9.720159303,9.620087498,Training
9.462397998,9.362434115,Training
9.989004616,9.889251472,Training
8.11058971,8.010327484,Training
9.653212514,9.552900174,Training
9.568201724,9.612701012,Training
10.25527251,10.15508873,Training
9.716003344,9.631697392,Training
10,9.899955262,Training
10,9.899981485,Training
10.07918125,10.04634796,Training
8.204119983,8.304482885,Training
9.301029996,9.401060212,Training
10.19589965,10.09592032,Training
9.643452676,9.598917871,Training
9.602059991,9.593714518,Training
9.857332496,9.757258435,Training
9.041392685,9.141040247,Training
8.579783597,8.480039288,Training
9.910090546,9.810409078,Training
9.812913357,9.912832887,Training
9.953759692,9.853736576,Training
8.73239376,8.832484127,Training
9.740362689,9.640040434,Training
9.230448921,9.330250168,Training
9.740362689,9.840364431,Training
8.653212514,8.753091867,Training
9.762678564,9.662627397,Training
9.838849091,9.739867538,Training
10,9.899825729,Training
9.62324929,9.538782843,Training
9.790285164,9.754854068,Training
9.562292864,9.462078375,Training
9.755874856,9.806332675,Training
9.740362689,9.840804165,Training
10.51851394,10.61841457,Training
8.77815125,8.878378793,Training
9.681241237,9.678634175,Training
9.886490725,9.786433077,Training
9.462397998,9.362456673,Training
9.910090546,9.810081549,Training
8.770852012,8.670481143,Training
8.301029996,8.400595336,Training
9.602059991,9.538815396,Training
9.840106094,9.740351242,Training
9.913813852,10.01356536,Training
9.361727836,9.461708394,Training
9.838849091,9.838216577,Training
9.6599162,9.559914794,Training
9.77815125,9.678377277,Training
9.880241776,9.779762582,Training
8.892094603,8.992384187,Training
9.799340549,9.871660485,Training
9.342422681,9.242091851,Training
9.556302501,9.650345669,Training
9.146128036,9.078366818,Training
9.021189299,9.121322472,Training
8.820201459,8.919859154,Training
9.462397998,9.362186406,Training
