Experimental value,Predictive value,Class
9.361727836,9.461698394,Training
9.903089987,10.00309293,Training
9.462397998,9.436819142,Training
9.812913357,9.852663756,Training
9.380211242,9.280137238,Training
9.953759692,9.853583161,Training
9.913813852,9.814158764,Training
10,9.89983422,Training
9.342422681,9.242441752,Training
7.968482949,8.068707539,Training
9.84509804,9.945534322,Training
9.812913357,9.852663756,Training
9.785329835,9.704851774,Training
9.672097858,9.656673829,Training
8.653212514,8.553007359,Training
9.079181246,9.179563472,Training
10.04139269,10.0651079,Training
10.17609126,10.07603645,Training
9.591064607,9.577753705,Training
9.940018155,9.897486561,Training
9.079181246,9.17902278,Training
10.17609126,10.07571402,Training
9.710117365,9.669687403,Training
9.996073654,9.895988052,Training
9.94792362,9.847752609,Training
9.924279286,9.824211289,Training
9.968015714,9.868142571,Training
10.30103,10.20131237,Training
8.832508913,8.932535711,Training
9.903089987,9.821397686,Training
9.681241237,9.581002853,Training
9.544068044,9.70628946,Training
9.996073654,9.895940777,Training
9.591064607,9.490885223,Training
8.530199698,8.630188807,Training
7.953759692,8.053649931,Training
8.28780173,8.18762288,Training
9.763427994,9.758431652,Training
9.982271233,9.918776319,Training
9.913813852,9.906533355,Training
8.709269961,8.609268884,Training
9.840106094,9.779720521,Training
9.840106094,9.739966956,Training
9.322219295,9.422231285,Training
9.924279286,9.824422869,Training
7.77815125,7.878151077,Training
9.899820502,9.799837866,Training
8.361727836,8.439223498,Training
9.92992956,9.829949353,Training
9.913813852,9.821614736,Training
7.762678564,7.787225248,Training
9.397940009,9.498282018,Training
8.113943352,8.193998186,Training
9.953759692,10.05405342,Training
9.889861721,9.840131243,Training
9.397940009,9.497949625,Training
8.342422681,8.242854726,Training
9.041392685,9.141165852,Training
9.361727836,9.386446273,Training
9.505149978,9.483165072,Training
9.672097858,9.697943639,Training
9.996073654,9.896102628,Training
9.806179974,9.70628946,Training
9.886490725,9.786646664,Training
10.17609126,10.07578979,Training
9.716003344,9.816307261,Training
9.397940009,9.297574893,Training
10.462398,10.36195633,Training
10.07918125,9.978823698,Training
9.920123326,9.820166805,Training
8.079181246,8.179311718,Training
10.07918125,9.979374123,Training
9.301029996,9.292045639,Training
7.922206277,8.022544604,Training
9.653212514,9.552988264,Training
8.418301291,8.518368478,Training
9.62324929,9.522863315,Training
10.23044892,10.13012182,Training
9.903089987,9.803207256,Training
10,9.900101794,Training
9.635483747,9.780483053,Training
9.959041392,9.786646664,Training
9.600972896,9.501273858,Training
9.602059991,9.636819031,Training
9.892094603,9.792159684,Training
9.204119983,9.103727525,Training
9.176091259,9.076084075,Training
10.04139269,9.941210867,Training
9.903089987,10.00345568,Training
9.792391689,9.692040813,Training
9.505149978,9.405261593,Training
9.84509804,9.780213435,Training
10.14612804,10.04615138,Training
9.69019608,9.790125611,Training
9.361727836,9.577596821,Training
8.73239376,8.777419185,Training
8.709269961,8.609268884,Training
9.694605199,9.747512003,Training
9.84509804,9.781453732,Training
9.792391689,9.781453732,Training
8.667452953,8.767707746,Training
9.899820502,9.949815757,Training
9.204119983,9.405261593,Training
8.414973348,8.839003777,Training
9.899820502,9.799774081,Training
9.92992956,9.853458546,Training
9.544068044,9.444217956,Training
9.609594409,9.709831455,Training
9.84509804,9.902858294,Training
9.612783857,9.71328844,Training
10.07918125,9.979321512,Training
9.804139432,9.904443586,Training
10.07918125,9.979246001,Training
8.079181246,8.179311718,Training
9.230448921,9.330552321,Training
9.230448921,9.498282018,Training
9.791690649,9.691641374,Training
10.11394335,10.01396448,Training
6.85672889,6.956973402,Training
8.953759692,9.05348415,Training
7.230448921,7.330667594,Training
