Experimental value,Predictive value,Class
9.361727836,9.298039284,Training
9.903089987,10.0030785,Training
9.462397998,9.548885879,Training
9.812913357,9.768009867,Training
9.380211242,9.480212341,Training
9.953759692,9.853626412,Training
9.913813852,9.813663642,Training
10,9.900343814,Training
9.342422681,9.242237159,Training
7.968482949,8.068520951,Training
9.84509804,9.877252447,Training
9.812913357,9.768009867,Training
9.785329835,9.750376508,Training
9.672097858,9.626690226,Training
8.653212514,8.753192319,Training
9.079181246,9.179234795,Training
10.04139269,10.07517071,Training
10.17609126,10.07646941,Training
9.591064607,9.691440507,Training
9.940018155,9.87451373,Training
9.079181246,9.179149346,Training
10.17609126,10.07609079,Training
9.710117365,9.723810356,Training
9.996073654,9.896038764,Training
9.94792362,9.895694075,Training
9.924279286,9.824228655,Training
9.968015714,9.867958813,Training
10.30103,10.32468907,Training
8.832508913,8.932219743,Training
9.903089987,9.803247184,Training
9.681241237,9.689882734,Training
9.544068044,9.513178484,Training
9.996073654,9.896265261,Training
9.591064607,9.491446909,Training
8.530199698,8.629782301,Training
7.953759692,9.046194431,Training
8.28780173,8.387685264,Training
9.763427994,9.745151002,Training
9.982271233,9.882009551,Training
9.913813852,9.813803665,Training
8.709269961,8.609397239,Training
9.840106094,9.767048869,Training
9.840106094,9.739840814,Training
9.322219295,9.338759546,Training
9.924279286,9.824528359,Training
7.77815125,7.878296596,Training
9.899820502,9.799320861,Training
8.361727836,8.261498298,Training
9.92992956,9.82966951,Training
9.913813852,10.00566624,Training
7.762678564,7.863151787,Training
9.397940009,9.440409764,Training
8.113943352,8.013735418,Training
9.953759692,9.854148434,Training
9.889861721,9.818663878,Training
9.397940009,9.498030346,Training
8.342422681,8.442282589,Training
9.041392685,9.141312366,Training
9.361727836,9.367167326,Training
9.505149978,9.444820422,Training
9.672097858,9.772427017,Training
9.996073654,9.89612793,Training
9.806179974,9.706071728,Training
9.886490725,9.786508266,Training
10.17609126,10.07592582,Training
9.716003344,9.815611065,Training
9.397940009,9.297938577,Training
10.462398,10.36212935,Training
10.07918125,9.979183655,Training
9.920123326,9.819987208,Training
8.079181246,8.179541277,Training
10.07918125,9.979366048,Training
9.301029996,9.398724021,Training
7.922206277,8.022438978,Training
9.653212514,9.553177575,Training
8.418301291,8.518094749,Training
9.62324929,9.523247753,Training
10.23044892,10.13053056,Training
9.903089987,9.803544676,Training
10,9.900020034,Training
9.635483747,9.780188625,Training
9.959041392,9.702305588,Training
9.600972896,9.501184754,Training
9.602059991,9.67973747,Training
9.892094603,9.886659806,Training
9.204119983,9.104039504,Training
9.176091259,9.075969498,Training
10.04139269,10.00777901,Training
9.903089987,9.803406484,Training
9.792391689,9.69205066,Training
9.505149978,9.355761659,Training
9.84509804,9.773796208,Training
10.14612804,10.0457777,Training
9.69019608,9.790144244,Training
9.361727836,9.677177634,Training
8.73239376,8.832540893,Training
8.709269961,8.609397239,Training
9.694605199,9.628384986,Training
9.84509804,9.85198219,Training
9.792391689,9.892720078,Training
8.667452953,8.767943156,Training
9.899820502,9.850201892,Training
9.204119983,9.355761659,Training
8.414973348,8.515274056,Training
9.899820502,9.799341809,Training
9.92992956,9.829925802,Training
9.544068044,9.634688037,Training
9.609594409,9.70921757,Training
9.84509804,9.945310649,Training
9.612783857,9.619385523,Training
10.07918125,9.97923116,Training
9.804139432,9.903831855,Training
10.07918125,9.979105131,Training
8.079181246,8.179541277,Training
9.230448921,9.33087865,Training
9.230448921,9.33048342,Training
9.791690649,9.704946192,Training
10.11394335,10.01388104,Training
6.85672889,6.956346451,Training
8.953759692,8.854073543,Training
7.230448921,7.330860191,Training
9.698970004,9.634290749,Training
8.301029996,8.4469717,Training
9.720159303,9.700013038,Training
9.462397998,9.562344355,Training
9.989004616,9.888986712,Training
8.11058971,8.210757018,Training
9.653212514,9.753175354,Training
9.568201724,9.667937406,Training
10.25527251,10.15484954,Training
9.716003344,9.69368323,Training
10,9.928448209,Training
10,9.899844907,Training
10.07918125,10.04634191,Training
8.204119983,8.304142841,Training
9.301029996,9.398724021,Training
10.19589965,10.09592012,Training
9.643452676,9.598860075,Training
9.602059991,9.702187259,Training
9.857332496,9.757331842,Training
9.041392685,9.141392277,Training
8.579783597,8.480136592,Training
9.910090546,9.810029085,Training
9.812913357,9.868323277,Training
9.953759692,9.808082314,Training
8.73239376,8.832540893,Training
9.740362689,9.639943004,Training
9.230448921,9.330702542,Training
9.740362689,9.739925834,Training
8.653212514,8.753192319,Training
9.762678564,9.667359808,Training
9.838849091,9.73911242,Training
10,9.900382788,Training
9.62324929,9.723745015,Training
9.790285164,9.890438525,Training
9.562292864,9.61756127,Training
9.755874856,9.708260054,Training
9.740362689,9.840251479,Training
10.51851394,10.41820052,Training
8.77815125,8.878560301,Training
9.681241237,9.58104937,Training
9.886490725,9.786250485,Training
9.462397998,9.362689844,Training
9.910090546,9.81055365,Training
8.770852012,8.670817284,Training
8.301029996,8.401180605,Training
9.602059991,9.669990723,Training
9.840106094,9.83753079,Training
9.913813852,9.929789881,Training
9.361727836,9.305454186,Training
9.838849091,9.777409346,Training
9.6599162,9.705432105,Training
9.77815125,9.678016035,Training
9.880241776,9.786742567,Training
8.892094603,8.992305955,Training
9.799340549,9.899247668,Training
9.342422681,9.24223768,Training
9.556302501,9.455905323,Training
9.146128036,9.046194431,Training
9.021189299,9.121185265,Training
8.820201459,8.918556275,Training
9.462397998,9.362534099,Training
9.740362689,9.640403887,Training
10.23044892,10.13028628,Training
10.34242268,10.24278865,Training
9.84509804,9.945455383,Training
10.36172784,10.26208724,Training
9.230448921,9.330363983,Training
9.86923172,9.775350194,Training
9.146128036,9.072516859,Training
9.204119983,9.242081013,Training
9.681241237,9.614272837,Training
10.14612804,10.04605612,Training
9.812913357,9.868323277,Training
9.352182518,9.452496097,Training
8.342422681,8.442601483,Training
9.837588438,9.737261902,Training
9.255272505,9.242081013,Training
9.255272505,9.155228761,Training
9.833147112,9.742141946,Training
7.859738566,7.960072349,Training
9.826074803,9.726364899,Training
7.69019608,7.790307665,Training
9.762678564,9.772730808,Training
9.301029996,9.200975654,Training
9.72427587,9.824407354,Training
9.204119983,9.303705794,Training
9.62324929,9.723005203,Training
9.643452676,9.743320426,Training
9.399673721,9.499594996,Training
8.84509804,8.813426493,Training
9.568201724,9.668374822,Training
9.204119983,9.182338883,Training
9.850033258,9.782641702,Training
9.390935107,9.491081006,Training
9.556302501,9.702305588,Training
9.869818208,9.910239875,Training
9.933993164,9.834145156,Training
9.414973348,9.514808899,Training
9.62324929,9.523116857,Training
9.204119983,9.304244391,Training
9.964730921,9.864288806,Training
9.51851394,9.418237288,Training
8.227886705,8.247372878,Training
9.491361694,9.591402306,Training
9.51851394,9.471273179,Training
9.447158031,9.34706904,Training
10.47712125,10.37715323,Training
10.04139269,10.09200501,Training
10,9.899836312,Training
9.792391689,9.692134824,Training
9.910090546,9.810090884,Training
9.77815125,9.878589889,Training
9.866287339,9.766502881,Training
9.397940009,9.497977687,Training
9.799340549,9.699154548,Training
9.380211242,9.350760912,Training
9.810232518,9.710325137,Training
9.146128036,9.046006194,Training
9.505149978,9.605060682,Training
10.11394335,10.0137905,Training
9.857332496,9.757347865,Training
8.767897616,8.867834813,Training
9.397940009,9.497478019,Training
7.698970004,7.798517941,Training
9.230448921,9.181748676,Training
9.276461804,9.376758723,Training
9.762678564,9.751020908,Training
9.84509804,9.896275123,Training
9.680335513,9.780486394,Training
9.643452676,9.543110275,Training
9.565847819,9.665608515,Training
10,9.946528083,Training
9.130333768,9.032691361,Training
9.880241776,9.780188625,Training
8.913813852,8.813426493,Training
9.73239376,9.651371123,Training
9.450249108,9.550558652,Training
9.278753601,9.178616131,Training
10.14921911,10.0493245,Training
9.519827994,9.52356222,Training
9.977723605,9.877608929,Training
7.903089987,8.002685485,Training
10.07918125,9.979370628,Training
8.812913357,8.913154265,Training
9.178976947,9.090458504,Training
9.903089987,9.878795846,Training
8.579783597,8.679533719,Training
9.359835482,9.459859291,Training
9.301029996,9.401111877,Training
9.531478917,9.631478436,Training
8.113943352,8.01366992,Training
9.079181246,9.179147337,Training
9.301029996,9.401078393,Training
9.531478917,9.631658316,Training
9.492760389,9.593223142,Training
10.05690485,9.978966657,Training
9.672097858,9.652343971,Training
9.770852012,9.671002558,Training
9.69019608,9.589841166,Training
9.176091259,9.128493706,Training
9.342422681,9.329942149,Training
9.51054501,9.610688773,Training
9.812913357,9.912685271,Training
8.602059991,8.702191607,Training
9.113943352,9.213925466,Training
9.907948522,9.807825936,Training
9.653212514,9.753175354,Training
9.653212514,9.553132509,Training
9.88592634,9.869400512,Training
8.910090546,9.009827514,Training
9.910624405,9.812831174,Training
10.23044892,10.13061489,Training
