Experimental value,Predictive value,Class
9.361727836,9.633048538,Training
9.903089987,10.18343198,Training
9.462397998,9.678012059,Training
9.812913357,9.7329644,Training
9.380211242,9.437814116,Training
9.953759692,10.05386527,Training
9.913813852,9.81399657,Training
10,10.10013027,Training
9.342422681,8.748520255,Training
7.968482949,8.068489073,Training
9.84509804,9.945241749,Training
9.812913357,9.7329644,Training
9.785329835,9.69490778,Training
9.672097858,9.605301253,Training
8.653212514,8.553380668,Training
9.079181246,9.201024858,Training
10.04139269,9.941259878,Training
10.17609126,9.939713583,Training
9.591064607,9.589171716,Training
9.940018155,10.02717166,Training
9.079181246,9.179156902,Training
10.17609126,10.07617126,Training
9.710117365,9.810166355,Training
9.996073654,9.955544115,Training
9.94792362,9.847882305,Training
9.924279286,9.900233552,Training
9.968015714,9.867800528,Training
10.30103,9.912547849,Training
8.832508913,8.848901319,Training
9.903089987,9.802788296,Training
9.681241237,9.581029492,Training
9.544068044,9.018694545,Training
9.996073654,9.896223984,Training
9.591064607,9.523524301,Training
8.530199698,8.630029888,Training
7.953759692,9.130607347,Training
8.28780173,8.518484068,Training
9.763427994,9.785145113,Training
9.982271233,10.0825288,Training
9.913813852,9.813529101,Training
8.709269961,8.518484068,Training
9.840106094,9.740142624,Training
9.840106094,9.787829918,Training
9.322219295,9.42177718,Training
9.924279286,9.912598637,Training
7.77815125,7.878259599,Training
9.899820502,9.957637071,Training
8.361727836,8.430865547,Training
9.92992956,9.965984599,Training
9.913813852,9.963402862,Training
7.762678564,7.862293228,Training
9.397940009,9.640327489,Training
8.113943352,8.094394846,Training
9.953759692,9.854101823,Training
9.889861721,9.989946041,Training
9.397940009,9.498113954,Training
8.342422681,8.442269682,Training
9.041392685,9.141547615,Training
9.361727836,9.461565779,Training
9.505149978,9.605301253,Training
9.672097858,9.571900352,Training
9.996073654,9.899873061,Training
9.806179974,9.018694545,Training
9.886490725,9.701716276,Training
10.17609126,10.07592217,Training
9.716003344,9.832676254,Training
9.397940009,9.130728261,Training
10.462398,10.36286656,Training
10.07918125,9.979271911,Training
9.920123326,9.975609416,Training
8.079181246,8.179433469,Training
10.07918125,9.679679343,Training
9.301029996,9.018694545,Training
7.922206277,8.022267974,Training
