Experimental value,Predictive value,Class
9.361727836,9.491652897,Training
9.903089987,10.24392032,Training
9.462397998,9.562593091,Training
9.812913357,9.713098869,Training
9.380211242,9.279909463,Training
9.953759692,10.05390196,Training
9.913813852,10.01401349,Training
10,9.899801402,Training
9.342422681,9.436906172,Training
7.968482949,8.586444805,Training
9.84509804,9.934549666,Training
9.812913357,9.713098869,Training
9.785329835,9.736002826,Training
9.672097858,9.768961896,Training
8.653212514,8.753224688,Training
9.079181246,9.256477257,Training
10.04139269,10.02622096,Training
10.17609126,10.0757817,Training
9.591064607,9.683039095,Training
9.940018155,9.839961301,Training
9.079181246,9.165835567,Training
10.17609126,10.07573704,Training
9.710117365,9.640960137,Training
9.996073654,9.896010982,Training
9.94792362,9.889031139,Training
9.924279286,9.798744068,Training
9.968015714,9.86784691,Training
10.30103,10.20101634,Training
8.832508913,8.876562955,Training
9.903089987,9.812270787,Training
9.681241237,9.736578578,Training
9.544068044,9.64449776,Training
9.996073654,9.896207776,Training
9.591064607,9.688276497,Training
8.530199698,8.630084367,Training
7.953759692,9.071674625,Training
8.28780173,8.239111333,Training
9.763427994,9.763594534,Training
9.982271233,10.08204894,Training
9.913813852,9.8138423,Training
8.709269961,8.609131646,Training
9.840106094,9.739844668,Training
9.840106094,9.740179509,Training
9.322219295,9.421838759,Training
9.924279286,9.903716975,Training
7.77815125,7.878226564,Training
9.899820502,9.857796086,Training
8.361727836,8.26189072,Training
9.92992956,10.00337764,Training
9.913813852,9.595547557,Training
7.762678564,7.941272318,Training
9.397940009,9.29783647,Training
8.113943352,8.055545508,Training
9.953759692,9.854100617,Training
9.889861721,9.986279275,Training
9.397940009,9.494990875,Training
8.342422681,8.442609399,Training
9.041392685,9.141353118,Training
9.361727836,9.462016622,Training
9.505149978,9.405038614,Training
9.672097858,9.571807511,Training
9.996073654,10.02493638,Training
9.806179974,9.728501069,Training
9.886490725,9.941207474,Training
10.17609126,10.27645457,Training
9.716003344,9.945450924,Training
9.397940009,9.498346864,Training
10.462398,10.36239281,Training
10.07918125,10.06697445,Training
9.920123326,9.820086709,Training
8.079181246,8.179319093,Training
10.07918125,9.717135472,Training
9.301029996,9.357250726,Training
7.922206277,8.022527777,Training
9.653212514,9.553174949,Training
8.418301291,9.101146051,Training
9.62324929,9.260308221,Training
10.23044892,10.13045058,Training
9.903089987,9.802945377,Training
10,9.956637599,Training
9.635483747,9.779895644,Training
9.959041392,9.859227095,Training
9.600972896,9.626956546,Training
9.602059991,9.70223959,Training
9.892094603,9.791895328,Training
9.204119983,9.124120641,Training
9.176091259,9.076103112,Training
10.04139269,9.941215024,Training
9.903089987,10.003001,Training
9.792391689,9.692199384,Training
9.505149978,9.405321601,Training
9.84509804,9.945511857,Training
10.14612804,10.04613655,Training
9.69019608,9.790452512,Training
9.361727836,9.530123355,Training
8.73239376,8.632335533,Training
8.709269961,8.609131646,Training
9.694605199,9.673885188,Training
9.84509804,9.872498283,Training
9.792391689,9.892574732,Training
8.667452953,8.767622323,Training
9.899820502,9.799881566,Training
9.204119983,9.405321601,Training
8.414973348,8.314929847,Training
9.899820502,9.799739461,Training
9.92992956,9.830074612,Training
9.544068044,9.64384973,Training
9.609594409,9.706567801,Training
9.84509804,9.945450924,Training
